year,month,day,PCA1,PCA2,AQI,Kmeans_3,Kmeans_4,Kmeans_6,Kmeans_12,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station,HDBSCAN_3,HDBSCAN_4,HDBSCAN_6,HDBSCAN_12
2013,3,1,11.18,-1.31,1.0,1,1,1,1,7.12,10.75,11.71,22.58,429.17,63.88,1.39,1026.88,-18.75,0.0,3.25,Aotizhongxin,1,1,1,1
2013,3,1,10.87,-0.56,1.0,1,1,1,1,5.08,18.96,16.04,15.33,387.5,77.79,0.81,1023.86,-19.58,0.0,2.13,Changping,1,1,1,1
2013,3,1,11.09,-0.82,1.0,1,1,1,1,6.38,6.41,3.0,2.62,204.17,81.96,0.81,1023.86,-19.58,0.0,2.13,Dingling,1,1,1,1
2013,3,1,11.0,-1.25,1.0,1,1,1,1,6.42,9.88,8.48,28.52,395.65,72.78,1.32,1028.78,-21.47,0.0,3.31,Dongsi,1,1,1,1
2013,3,1,11.19,-1.13,1.0,1,1,1,1,7.54,11.67,8.5,28.5,400.0,63.17,1.39,1026.88,-18.75,0.0,3.25,Guanyuan,1,1,1,1
2013,3,1,6.86,4.26,1.0,2,2,2,2,8.62,16.88,7.39,14.25,869.57,77.13,1.69,1024.82,-19.69,0.0,2.35,Gucheng,-1,-1,-1,-1
2013,3,1,11.52,-1.75,1.0,1,1,1,1,7.54,12.38,15.96,12.35,339.13,78.22,0.02,1023.78,-21.94,0.0,2.93,Huairou,1,1,1,1
2013,3,1,11.24,-1.16,1.0,1,1,1,1,6.46,10.83,9.25,27.71,341.67,72.08,1.32,1028.78,-21.47,0.0,3.31,Nongzhanguan,1,1,1,1
2013,3,1,11.35,-1.72,1.0,1,1,1,1,8.08,9.33,3.0,13.0,352.17,62.48,0.54,1029.64,-20.64,0.0,3.17,Shunyi,1,1,1,1
2013,3,1,10.93,-0.5,1.0,1,1,1,1,8.62,14.46,8.88,21.58,450.0,68.08,1.32,1028.78,-21.47,0.0,3.31,Tiantan,1,1,1,1
2013,3,1,11.05,-1.25,1.0,1,1,1,1,8.0,14.29,11.65,32.43,395.65,46.35,1.39,1026.88,-18.75,0.0,3.25,Wanliu,1,1,1,1
2013,3,1,11.25,-1.56,1.0,1,1,1,1,8.04,10.75,7.43,18.26,326.09,57.22,2.06,1025.9,-19.71,0.0,2.61,Wanshouxigong,1,1,1,1
2013,3,2,3.73,2.19,2.0,0,0,0,3,30.75,42.08,36.62,66.67,824.92,29.75,0.62,1026.85,-15.94,0.0,1.48,Aotizhongxin,-1,-1,5,5
2013,3,2,5.38,3.08,2.0,2,0,0,10,33.33,39.83,41.7,60.78,969.57,28.65,-0.4,1023.73,-16.12,0.0,0.93,Changping,-1,-1,-1,9
2013,3,2,7.19,2.97,2.0,2,2,5,11,34.04,41.71,25.08,56.38,875.0,24.71,-0.4,1023.73,-16.12,0.0,0.93,Dingling,-1,-1,-1,11
2013,3,2,2.24,2.32,2.0,0,0,0,3,30.5,40.58,28.29,58.5,966.58,37.79,0.49,1028.85,-16.96,0.0,0.79,Dongsi,-1,-1,-1,6
2013,3,2,2.79,2.35,2.0,0,0,0,3,26.38,34.88,28.7,63.61,860.78,35.17,0.62,1026.85,-15.94,0.0,1.48,Guanyuan,-1,-1,-1,6
2013,3,2,0.32,2.55,2.0,0,3,3,5,36.92,51.38,37.29,37.57,1479.04,39.58,0.82,1024.9,-16.34,0.0,1.09,Gucheng,-1,-1,-1,-1
2013,3,2,6.82,2.53,2.0,2,0,5,11,32.71,41.38,40.01,49.85,765.17,35.01,-0.99,1023.69,-16.24,0.0,1.58,Huairou,-1,-1,-1,-1
2013,3,2,1.51,2.23,2.0,0,3,0,3,28.75,37.71,33.96,64.74,986.87,40.17,0.49,1028.85,-16.96,0.0,0.79,Nongzhanguan,-1,-1,-1,6
2013,3,2,2.7,2.19,2.0,0,0,0,3,32.62,38.13,20.21,47.58,920.83,40.42,0.08,1029.47,-16.28,0.0,1.35,Shunyi,-1,-1,-1,6
2013,3,2,2.72,2.51,2.0,0,0,0,3,31.71,37.04,27.17,50.48,934.78,34.04,0.49,1028.85,-16.96,0.0,0.79,Tiantan,-1,-1,-1,-1
2013,3,2,1.89,2.14,2.0,0,3,0,3,29.08,41.62,34.25,73.71,908.33,17.67,0.62,1026.85,-15.94,0.0,1.48,Wanliu,-1,-1,-1,6
