year,month,day,PCA1,PCA2,AQI,Kmeans_3,Kmeans_4,Kmeans_6,Kmeans_12,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,-66.73,-46.7,1.0,1,3,1,1,7.12,10.75,11.71,22.58,429.17,63.88,1.39,1026.88,-18.75,0.0,3.25,Aotizhongxin
2013,3,1,-63.45,-44.59,1.0,1,3,1,1,5.08,18.96,16.04,15.33,387.5,77.79,0.81,1023.86,-19.58,0.0,2.13,Changping
2013,3,1,-60.46,-48.94,1.0,1,3,1,1,6.38,6.41,3.0,2.62,204.17,81.96,0.81,1023.86,-19.58,0.0,2.13,Dingling
2013,3,1,-66.21,-39.28,1.0,1,3,1,1,6.42,9.88,8.48,28.52,395.65,72.78,1.32,1028.78,-21.47,0.0,3.31,Dongsi
2013,3,1,-68.09,-44.8,1.0,1,3,1,1,7.54,11.67,8.5,28.5,400.0,63.17,1.39,1026.88,-18.75,0.0,3.25,Guanyuan
2013,3,1,4.42,-42.16,1.0,2,1,2,9,8.62,16.88,7.39,14.25,869.57,77.13,1.69,1024.82,-19.69,0.0,2.35,Gucheng
2013,3,1,-74.51,-13.04,1.0,1,3,3,1,7.54,12.38,15.96,12.35,339.13,78.22,0.02,1023.78,-21.94,0.0,2.93,Huairou
2013,3,1,-64.48,-53.48,1.0,1,3,1,1,6.46,10.83,9.25,27.71,341.67,72.08,1.32,1028.78,-21.47,0.0,3.31,Nongzhanguan
2013,3,1,-72.11,-29.82,1.0,1,3,1,1,8.08,9.33,3.0,13.0,352.17,62.48,0.54,1029.64,-20.64,0.0,3.17,Shunyi
2013,3,1,-61.22,-45.38,1.0,1,3,1,1,8.62,14.46,8.88,21.58,450.0,68.08,1.32,1028.78,-21.47,0.0,3.31,Tiantan
2013,3,1,-68.11,-36.17,1.0,1,3,1,1,8.0,14.29,11.65,32.43,395.65,46.35,1.39,1026.88,-18.75,0.0,3.25,Wanliu
2013,3,1,-69.43,-30.36,1.0,1,3,1,1,8.04,10.75,7.43,18.26,326.09,57.22,2.06,1025.9,-19.71,0.0,2.61,Wanshouxigong
2013,3,2,37.16,-48.97,2.0,2,1,2,5,30.75,42.08,36.62,66.67,824.92,29.75,0.62,1026.85,-15.94,0.0,1.48,Aotizhongxin
2013,3,2,18.85,-37.21,2.0,2,1,2,5,33.33,39.83,41.7,60.78,969.57,28.65,-0.4,1023.73,-16.12,0.0,0.93,Changping
2013,3,2,-0.01,-11.29,2.0,0,1,4,10,34.04,41.71,25.08,56.38,875.0,24.71,-0.4,1023.73,-16.12,0.0,0.93,Dingling
2013,3,2,50.96,-49.95,2.0,2,2,2,5,30.5,40.58,28.29,58.5,966.58,37.79,0.49,1028.85,-16.96,0.0,0.79,Dongsi
2013,3,2,45.14,-56.19,2.0,2,1,2,5,26.38,34.88,28.7,63.61,860.78,35.17,0.62,1026.85,-15.94,0.0,1.48,Guanyuan
2013,3,2,69.23,-35.44,2.0,2,2,5,8,36.92,51.38,37.29,37.57,1479.04,39.58,0.82,1024.9,-16.34,0.0,1.09,Gucheng
2013,3,2,1.85,-33.62,2.0,2,1,2,9,32.71,41.38,40.01,49.85,765.17,35.01,-0.99,1023.69,-16.24,0.0,1.58,Huairou
2013,3,2,56.69,-50.41,2.0,2,2,2,5,28.75,37.71,33.96,64.74,986.87,40.17,0.49,1028.85,-16.96,0.0,0.79,Nongzhanguan
2013,3,2,47.87,-53.92,2.0,2,1,2,5,32.62,38.13,20.21,47.58,920.83,40.42,0.08,1029.47,-16.28,0.0,1.35,Shunyi
2013,3,2,43.82,-56.83,2.0,2,1,2,5,31.71,37.04,27.17,50.48,934.78,34.04,0.49,1028.85,-16.96,0.0,0.79,Tiantan
2013,3,2,54.45,-54.19,2.0,2,2,2,5,29.08,41.62,34.25,73.71,908.33,17.67,0.62,1026.85,-15.94,0.0,1.48,Wanliu
2013,3,2,45.0,-55.61,2.0,2,1,2,5,30.92,40.96,30.96,50.33,879.17,27.83,0.68,1026.02,-15.48,0.0,1.06,Wanshouxigong
2013,3,3,4.5,59.24,3.0,0,0,0,0,76.92,120.54,61.29,81.0,1620.62,19.12,5.57,1014.61,-12.32,0.0,1.66,Aotizhongxin
2013,3,3,-21.64,57.35,2.0,0,0,4,0,57.54,82.67,37.88,58.79,1254.0,31.33,5.33,1011.31,-13.0,0.0,1.36,Changping
2013,3,3,-54.43,46.74,2.0,1,3,3,4,43.83,65.33,19.78,45.75,804.35,41.0,5.33,1011.31,-13.0,0.0,1.36,Dingling
2013,3,3,54.97,44.83,3.0,0,0,0,2,98.33,131.58,58.29,93.46,2132.88,20.33,4.99,1016.46,-12.31,0.0,1.22,Dongsi
2013,3,3,24.38,54.68,3.0,0,0,0,11,81.5,119.08,69.21,96.46,1966.46,16.5,5.57,1014.61,-12.32,0.0,1.66,Guanyuan
2013,3,3,40.67,28.79,3.0,0,0,0,2,80.33,120.04,47.54,63.33,2349.71,33.71,6.56,1012.57,-11.99,0.0,1.4,Gucheng
2013,3,3,-18.06,-5.48,2.0,1,1,4,3,57.62,80.75,38.29,48.04,945.83,27.83,3.91,1011.39,-12.48,0.0,1.77,Huairou
