year,month,day,UMAP1,UMAP2,AQI,KMeans_3,KMeans_4,KMeans_6,KMeans_12,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station,Kmeans_3,Kmeans_4,Kmeans_6,Kmeans_12
2013,3,1,-19.17,82.21,1.0,1,2,2,2,5.08,18.96,16.04,15.33,387.5,77.79,0.81,1023.86,-19.58,0.0,2.13,Changping,1,0,1,1
2013,3,2,50.26,78.34,2.0,2,2,5,6,33.33,39.83,41.7,60.78,969.57,28.65,-0.4,1023.73,-16.12,0.0,0.93,Changping,2,1,0,10
2013,3,3,2.37,96.05,2.0,1,2,3,2,57.54,82.67,37.88,58.79,1254.0,31.33,5.33,1011.31,-13.0,0.0,1.36,Changping,1,0,1,1
2013,3,4,56.44,84.96,1.0,1,2,4,6,20.79,36.17,22.38,30.25,583.33,66.46,9.24,1014.4,-13.47,0.0,2.38,Changping,2,1,0,10
2013,3,5,90.12,52.26,3.0,2,0,1,7,106.96,125.17,50.71,75.29,1641.33,88.75,6.46,1007.8,-9.0,0.0,0.77,Changping,2,1,0,10
2013,3,6,100.12,44.68,5.0,2,0,0,7,235.29,257.46,99.26,121.74,3169.17,68.21,7.35,1004.35,-4.77,0.0,1.04,Changping,2,1,0,10
2013,3,7,102.07,31.06,5.0,2,0,0,9,200.67,223.96,81.96,129.25,3257.92,41.0,9.24,999.23,-3.9,0.0,1.01,Changping,2,1,0,2
2013,3,8,51.72,-39.75,5.0,0,0,2,1,182.38,239.71,58.48,90.5,2547.52,82.21,12.04,996.15,-2.87,0.0,2.1,Changping,2,2,3,5
2013,3,9,-33.25,55.24,3.0,1,1,1,3,58.25,200.21,28.25,32.38,937.42,102.25,7.11,1001.67,-11.38,0.0,3.29,Changping,1,0,1,8
2013,3,10,60.0,88.99,1.0,2,2,5,6,30.25,50.12,20.75,34.29,604.35,97.29,7.29,1017.02,-16.72,0.0,2.35,Changping,2,1,0,10
2013,3,11,81.0,75.34,4.0,2,1,4,7,123.96,163.79,79.12,84.83,1716.42,88.58,5.36,1010.51,-8.42,0.0,1.26,Changping,2,1,0,10
2013,3,12,23.04,71.62,4.0,1,1,3,5,137.83,143.54,42.46,80.92,1816.38,35.88,5.19,1005.91,-0.66,0.09,1.21,Changping,2,1,0,11
2013,3,13,48.92,87.71,1.0,1,2,5,6,13.25,17.67,12.92,25.0,437.5,85.08,4.74,1019.4,-13.32,0.0,2.13,Changping,2,1,0,10
2013,3,14,84.58,60.75,3.0,2,1,2,7,109.0,120.83,47.21,74.62,1491.04,81.12,3.49,1018.31,-4.69,0.0,1.5,Changping,2,1,0,10
2013,3,15,99.51,34.44,5.0,2,0,0,9,183.29,198.08,65.96,86.67,1866.42,58.29,5.67,1011.36,-2.45,0.0,0.94,Changping,2,1,0,2
2013,3,16,100.63,38.53,5.0,2,0,0,8,229.17,241.42,62.38,92.12,2437.25,92.17,8.87,1013.54,-0.36,0.0,1.49,Changping,2,1,0,10
2013,3,17,66.07,80.31,6.0,2,0,1,6,276.42,277.54,70.67,109.92,2520.5,97.17,9.52,998.85,1.63,0.0,1.04,Changping,2,1,0,10
2013,3,18,-26.33,46.4,2.0,1,1,1,3,39.88,73.0,9.21,21.79,513.04,80.42,8.67,998.23,-11.44,0.0,3.69,Changping,1,0,1,3
2013,3,19,-29.67,53.34,2.0,1,1,1,1,36.29,28.83,5.0,28.17,620.83,37.46,1.23,1005.96,-0.78,0.38,1.4,Changping,1,0,1,8
2013,3,20,22.22,17.65,1.0,1,1,0,4,32.38,32.17,7.58,28.17,675.0,57.54,1.39,1013.85,-4.63,0.5,1.28,Changping,2,1,4,7
2013,3,21,40.72,-10.61,4.0,1,0,0,8,123.5,142.17,18.58,63.29,1382.39,25.91,3.16,1001.91,-2.28,0.0,0.98,Changping,2,1,3,7
2013,3,22,25.82,21.23,2.0,0,2,3,4,67.79,112.42,14.46,44.0,969.57,54.78,6.79,1008.23,-7.58,0.0,2.28,Changping,2,1,4,7
2013,3,23,-11.26,83.94,2.0,1,1,3,3,48.42,78.71,16.92,42.62,1091.58,37.62,4.05,1005.68,-7.53,0.0,2.48,Changping,1,0,1,1
2013,3,24,17.42,50.27,1.0,1,2,3,3,18.21,33.96,5.38,24.04,500.0,62.73,4.83,1013.03,-14.56,0.0,1.98,Changping,2,1,0,11
2013,3,26,80.52,23.83,5.0,2,0,0,9,188.42,225.42,41.5,92.21,2004.36,23.81,6.33,1004.37,-3.35,0.0,1.0,Changping,2,1,0,2
2013,3,27,-32.66,51.97,3.0,1,1,2,7,110.46,135.17,16.58,45.17,1304.22,49.28,10.11,1002.2,-7.3,0.0,2.65,Changping,1,0,1,8
2013,3,28,-29.0,36.87,1.0,1,1,1,5,13.33,29.71,3.33,27.67,566.67,64.29,7.84,1012.12,-14.67,0.0,2.14,Changping,1,0,1,3
2013,3,29,50.13,58.68,2.0,2,2,4,6,54.25,84.04,15.12,48.0,1217.3,42.76,5.64,1013.15,-9.18,0.0,1.75,Changping,2,1,0,10
2013,3,30,45.21,2.22,3.0,1,0,1,7,82.21,112.54,50.29,52.75,1786.7,48.65,6.28,1013.51,-4.37,0.0,1.87,Changping,2,1,3,7
2013,3,31,57.96,-7.12,4.0,1,0,0,7,150.12,172.38,16.17,54.46,1345.58,14.5,4.72,1010.02,1.73,0.0,1.63,Changping,2,1,3,2
2013,4,1,-21.27,65.11,3.0,1,1,2,3,94.5,123.42,16.76,35.53,1240.77,56.97,10.3,1008.66,-6.05,0.0,3.04,Changping,1,0,1,1
2013,4,2,48.9,-69.43,2.0,0,2,3,0,74.21,103.67,26.04,46.88,1026.04,76.71,10.35,1008.1,-7.62,0.0,1.23,Changping,0,2,3,5
2013,4,3,46.89,-48.84,4.0,0,0,2,0,126.92,205.38,38.62,62.67,1456.17,72.83,11.95,1003.38,-1.82,0.0,1.66,Changping,0,2,3,5
2013,4,4,35.26,26.63,2.0,2,0,1,6,55.58,80.54,29.92,61.79,1670.54,33.17,7.58,1006.02,-0.4,0.37,1.24,Changping,2,1,0,7
2013,4,5,-43.19,74.45,2.0,1,1,2,2,61.54,51.83,8.71,36.42,1333.0,42.5,8.06,1010.14,-1.6,0.07,2.3,Changping,1,0,1,1
2013,4,6,7.65,50.11,1.0,1,1,3,2,12.46,21.33,6.62,19.67,491.67,71.38,8.74,1007.44,-9.83,0.0,1.83,Changping,2,0,1,11
2013,4,7,3.64,29.51,2.0,1,1,2,2,68.46,104.25,31.25,51.08,1185.67,48.6,8.32,999.34,-2.23,0.0,1.42,Changping,2,0,4,3
2013,4,8,-106.35,19.14,2.0,1,1,1,11,21.88,122.92,5.58,15.33,358.33,80.29,8.5,1003.76,-12.64,0.0,5.88,Changping,1,3,5,9
2013,4,9,-57.3,52.82,1.0,1,1,1,4,11.67,31.92,3.46,12.88,320.83,90.83,7.6,1011.42,-10.17,0.0,3.98,Changping,1,0,1,8
2013,4,10,-47.88,41.61,1.0,1,1,1,4,14.54,26.38,8.12,27.71,479.17,63.85,7.42,1010.78,-10.1,0.0,2.6,Changping,1,0,1,8
2013,4,11,-34.25,25.16,1.0,0,1,1,3,16.08,31.96,7.86,32.42,452.38,63.39,10.02,1009.4,-11.61,0.0,1.9,Changping,1,0,1,3
2013,4,12,-0.31,-6.96,2.0,0,2,2,2,46.92,88.0,13.21,52.58,690.48,49.3,13.5,1003.42,-6.28,0.0,1.17,Changping,0,2,4,0
2013,4,13,-55.59,49.9,2.0,1,1,3,7,39.04,85.92,10.33,31.54,575.0,60.21,16.56,995.93,-2.16,0.0,2.96,Changping,1,0,1,8
