year,month,day,UMAP1,UMAP2,AQI,KMeans_3,KMeans_4,KMeans_6,KMeans_12,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station,Kmeans_3,Kmeans_4,Kmeans_6,Kmeans_12
2013,3,1,-26.21,85.29,1.0,1,2,2,1,7.54,12.38,15.96,12.35,339.13,78.22,0.02,1023.78,-21.94,0.0,2.93,Huairou,0,0,3,11
2013,3,2,28.6,73.18,2.0,2,2,5,4,32.71,41.38,40.01,49.85,765.17,35.01,-0.99,1023.69,-16.24,0.0,1.58,Huairou,1,3,5,6
2013,3,3,6.69,97.15,2.0,1,2,3,2,57.62,80.75,38.29,48.04,945.83,27.83,3.91,1011.39,-12.48,0.0,1.77,Huairou,1,3,1,11
2013,3,4,39.51,80.4,1.0,1,2,4,5,19.11,45.88,25.71,35.12,524.96,55.92,7.11,1014.49,-13.1,0.0,1.89,Huairou,1,3,5,6
2013,3,6,91.55,51.9,5.0,2,0,1,7,167.62,195.38,65.79,86.58,2095.62,80.38,5.47,1004.48,-5.6,0.0,1.24,Huairou,1,3,5,2
2013,3,7,99.06,19.12,5.0,2,0,0,9,206.42,241.82,64.0,121.67,2466.38,63.58,7.63,999.4,-3.99,0.0,1.33,Huairou,1,2,2,2
2013,3,8,47.78,-52.44,5.0,0,0,2,0,194.88,232.25,58.56,88.81,2303.91,85.79,8.82,996.52,-2.75,0.0,2.32,Huairou,2,2,2,3
2013,3,9,-21.19,81.12,2.0,1,2,1,1,52.12,142.75,29.57,33.43,804.35,102.5,6.2,1001.3,-11.9,0.0,3.97,Huairou,0,3,1,11
2013,3,10,42.8,75.83,2.0,2,2,5,5,43.62,68.92,32.25,46.58,762.5,90.54,3.73,1017.32,-14.14,0.0,1.74,Huairou,1,3,5,6
2013,3,11,77.16,67.82,4.0,2,1,3,7,119.54,141.88,73.0,72.38,1295.67,70.96,4.88,1010.81,-8.55,0.0,1.4,Huairou,1,3,5,2
2013,3,12,16.74,71.75,3.0,1,1,3,5,106.54,104.67,29.83,81.75,1208.17,41.88,4.94,1005.86,-0.71,0.06,1.63,Huairou,1,3,1,6
2013,3,13,40.56,88.61,1.0,1,2,5,5,10.58,16.46,15.08,19.25,322.73,85.46,2.45,1019.56,-13.34,0.0,2.75,Huairou,1,3,5,6
2013,3,14,81.15,49.64,3.0,2,0,1,7,108.0,120.79,32.46,78.21,1470.58,79.25,2.0,1018.57,-4.95,0.0,1.56,Huairou,1,3,5,2
2013,3,15,99.55,33.91,5.0,2,0,0,9,220.83,223.96,49.58,102.04,2021.48,45.38,4.2,1011.42,-2.3,0.0,1.16,Huairou,1,2,5,2
2013,3,16,100.4,38.56,5.0,2,0,0,8,236.0,223.92,48.38,83.08,2038.91,77.71,8.2,1013.63,-0.96,0.0,1.75,Huairou,1,2,5,2
2013,3,17,78.43,69.99,6.0,2,0,1,7,280.29,285.92,65.83,105.54,2521.43,99.67,8.09,998.97,1.15,0.0,1.37,Huairou,1,3,5,2
2013,3,18,-17.17,63.62,3.0,1,1,2,2,95.42,115.88,10.25,32.71,799.92,87.79,7.28,998.18,-10.78,0.0,3.7,Huairou,0,3,1,11
2013,3,19,-41.21,56.96,1.0,1,1,1,1,29.46,14.96,4.38,29.21,479.17,40.0,0.97,1005.96,-0.15,0.34,2.42,Huairou,0,0,3,8
2013,3,20,20.77,19.11,1.0,1,1,0,4,35.75,32.96,6.62,33.08,591.67,54.62,0.44,1013.8,-4.21,0.15,1.89,Huairou,1,3,1,7
2013,3,21,44.32,-15.51,4.0,1,0,0,8,122.17,129.88,20.54,62.5,1369.35,28.91,3.07,1001.98,-3.12,0.0,1.44,Huairou,1,2,2,9
2013,3,22,26.0,20.23,2.0,0,2,3,4,64.88,107.0,20.12,33.79,637.5,59.42,6.29,1008.58,-8.47,0.0,2.99,Huairou,1,3,1,7
2013,3,23,-3.99,83.95,2.0,1,1,3,3,40.0,52.54,28.67,28.22,795.83,43.75,4.08,1005.7,-8.87,0.0,2.41,Huairou,0,3,1,11
2013,3,26,56.72,-9.37,5.0,2,0,0,8,182.12,210.33,32.33,5.86,1827.05,22.36,5.84,1004.62,-2.6,0.0,1.47,Huairou,1,2,2,9
2013,3,28,-31.26,30.85,1.0,1,1,2,5,19.33,38.71,7.58,19.5,795.83,78.12,6.54,1012.12,-15.35,0.0,2.52,Huairou,0,0,1,1
2013,3,29,51.54,60.61,2.0,2,2,5,6,46.83,80.71,23.54,35.87,918.14,50.55,4.7,1013.32,-9.99,0.0,1.75,Huairou,1,3,5,6
2013,3,30,45.45,-1.64,3.0,1,0,1,8,81.0,126.29,59.58,39.42,1499.92,55.62,5.97,1013.59,-5.22,0.0,2.28,Huairou,1,2,2,7
2013,3,31,61.38,-21.07,5.0,0,0,0,8,151.92,181.62,25.21,39.62,1024.96,25.71,4.72,1010.12,1.5,0.0,1.29,Huairou,1,2,2,9
2013,4,1,-7.34,63.74,4.0,1,1,2,4,129.46,139.75,20.08,26.96,1129.04,54.46,8.7,1008.44,-3.38,0.0,2.7,Huairou,0,3,1,11
2013,4,2,44.45,-63.66,3.0,0,1,2,0,77.25,116.38,21.17,40.04,990.86,70.79,8.72,1008.3,-6.56,0.0,1.8,Huairou,2,2,2,3
2013,4,3,55.51,-6.65,3.0,0,0,3,3,105.0,204.17,30.33,36.92,1108.57,80.68,11.65,1003.5,-2.58,0.0,2.69,Huairou,1,2,2,9
2013,4,4,21.38,24.04,2.0,1,1,2,4,59.0,86.25,40.79,37.33,1574.79,41.46,7.41,1005.85,0.2,0.44,1.67,Huairou,1,3,1,7
2013,4,5,-58.05,43.4,2.0,1,1,1,1,44.67,33.58,8.92,15.76,808.04,60.21,8.06,1009.6,-2.48,0.02,3.37,Huairou,0,0,3,8
2013,4,6,1.25,25.72,1.0,1,1,3,5,14.67,29.92,4.54,20.35,465.22,63.48,6.85,1007.58,-8.32,0.0,1.93,Huairou,1,3,1,1
2013,4,7,-2.05,32.54,2.0,1,1,1,1,67.79,113.96,38.88,40.86,1237.42,47.88,8.05,999.43,-2.75,0.0,2.22,Huairou,1,3,1,1
2013,4,12,23.33,-2.07,2.0,1,0,2,7,55.5,121.25,16.71,54.91,745.41,46.86,11.22,1003.79,-6.22,0.0,1.26,Huairou,1,2,2,7
2013,4,13,-51.07,50.98,2.0,1,1,3,7,46.58,87.17,12.42,28.9,450.0,65.75,15.47,996.16,-3.57,0.0,4.39,Huairou,0,0,3,8
2013,4,14,-1.97,-33.24,2.0,0,1,2,3,28.21,85.96,10.04,27.56,470.0,84.32,11.34,1001.37,-9.89,0.0,2.47,Huairou,2,1,0,10
2013,4,15,46.7,-53.25,3.0,0,0,3,0,69.96,197.12,46.04,44.83,1212.5,69.21,11.97,994.71,-1.52,0.0,2.55,Huairou,2,2,2,3
2013,4,16,8.71,-33.43,2.0,0,2,2,2,51.92,137.04,33.62,27.29,829.12,86.04,13.52,998.23,-1.9,0.0,2.68,Huairou,2,2,0,10
2013,4,17,-29.88,20.74,2.0,0,2,1,4,49.0,89.04,23.5,29.21,620.83,81.25,11.4,1003.1,-3.64,0.0,2.82,Huairou,0,0,1,1
2013,4,19,0.17,-19.77,2.0,0,2,2,2,43.71,79.12,19.62,30.33,722.22,67.92,6.69,1015.31,-3.31,0.0,2.55,Huairou,2,2,0,10
2013,4,20,21.03,-55.42,2.0,0,2,3,1,74.21,94.58,11.46,41.17,795.24,65.71,8.85,1011.87,-1.24,0.0,1.74,Huairou,2,2,0,3
2013,4,21,57.74,-37.52,4.0,0,0,1,3,117.58,157.79,26.43,57.99,1017.65,60.7,11.32,1009.26,0.61,0.0,1.66,Huairou,1,2,2,9
2013,4,22,72.96,5.12,5.0,1,0,0,7,171.67,195.17,43.91,64.61,1199.91,38.39,11.97,1005.42,4.22,0.0,1.32,Huairou,1,2,2,9
2013,4,23,33.99,-10.31,5.0,0,0,0,5,174.96,175.54,16.04,58.8,1121.7,18.23,10.94,1002.69,7.45,0.06,1.48,Huairou,1,2,2,7
2013,4,24,-71.48,25.62,2.0,1,1,1,10,43.29,40.0,5.33,24.07,521.74,53.83,13.68,1001.98,0.58,0.0,2.99,Huairou,0,0,3,4
2013,4,26,35.89,-63.71,2.0,0,3,3,0,47.88,93.67,23.78,31.1,508.7,89.74,16.42,1001.48,-2.45,0.0,1.64,Huairou,2,2,2,3
2013,4,27,45.14,-53.92,2.0,0,0,2,0,58.54,130.58,37.99,29.22,865.17,111.53,17.81,1002.03,-0.45,0.0,2.35,Huairou,2,2,2,3
2013,4,28,-13.06,55.93,3.0,1,1,3,6,82.46,133.79,55.03,43.24,1560.61,100.84,15.66,1001.38,1.92,0.0,1.91,Huairou,0,3,1,1
2013,4,30,-7.27,34.06,2.0,0,2,4,2,18.04,52.67,6.62,14.96,295.65,91.43,20.76,1005.04,-9.9,0.0,3.75,Huairou,0,3,1,1
2013,5,1,33.84,-59.56,2.0,0,3,3,0,34.17,100.33,24.25,27.67,616.67,95.38,17.24,1006.16,-1.42,0.0,1.82,Huairou,2,2,2,3
2013,5,2,36.55,-64.94,2.0,0,3,3,0,72.08,127.58,43.67,39.17,1120.79,103.5,18.45,1003.65,1.78,0.0,2.02,Huairou,2,2,2,3
2013,5,3,34.19,-77.14,2.0,0,3,3,0,54.75,86.21,21.92,26.33,786.91,130.11,18.02,1007.73,5.18,0.0,2.15,Huairou,2,2,0,3
2013,5,4,36.4,-80.29,3.0,0,3,3,0,98.42,148.0,22.25,47.33,836.36,105.93,18.03,1007.89,5.63,0.0,1.85,Huairou,2,2,0,3
2013,5,5,50.99,-99.26,4.0,0,3,3,0,137.17,215.33,37.96,44.04,1041.67,135.46,20.11,1007.5,9.18,0.0,1.31,Huairou,2,2,0,3
2013,5,16,29.07,-74.86,2.0,0,3,3,0,49.42,117.62,30.96,43.31,1019.95,118.49,20.34,1007.93,8.5,0.0,1.7,Huairou,2,2,0,3
2013,5,17,40.81,-80.89,3.0,0,3,3,0,109.46,146.54,37.75,51.67,1251.96,106.63,19.64,1003.04,11.68,0.0,1.23,Huairou,2,2,0,3
2013,5,18,29.64,-61.22,4.0,0,3,2,1,135.42,166.5,28.6,55.7,1224.9,79.48,19.83,997.66,13.72,0.0,1.7,Huairou,2,2,0,3
2013,5,19,-87.63,4.69,2.0,0,1,1,9,43.33,144.88,7.75,24.67,456.52,74.48,19.59,991.89,2.74,0.0,3.85,Huairou,0,0,4,4
2013,5,22,-4.35,-64.6,3.0,0,3,3,1,74.88,184.46,37.64,46.13,1493.69,127.35,22.91,1001.68,7.36,0.0,1.86,Huairou,2,1,0,5
2013,5,23,43.21,-56.14,2.0,0,0,3,0,65.39,122.09,32.5,44.25,1373.61,109.59,22.21,1001.47,8.08,0.0,1.39,Huairou,2,2,2,3
2013,5,24,-62.42,-13.3,2.0,0,0,2,6,58.38,109.46,17.78,29.18,1252.0,99.43,23.06,1003.2,10.69,0.01,2.32,Huairou,0,0,4,4
2013,5,25,-21.13,-67.56,2.0,0,2,3,4,43.96,110.38,17.75,33.0,845.79,135.12,23.72,1001.79,11.82,0.0,1.68,Huairou,2,1,0,5
2013,5,26,-14.77,21.19,3.0,1,1,2,4,83.54,118.96,22.25,32.5,1208.33,64.29,21.07,1000.15,17.05,0.13,1.75,Huairou,0,3,1,1
2013,5,27,-24.05,-24.18,1.0,0,1,3,6,30.46,35.58,3.21,16.21,490.91,93.4,19.03,998.76,15.62,0.0,1.33,Huairou,2,1,4,10
2013,5,28,-27.33,24.34,3.0,1,1,1,4,79.33,96.79,3.96,53.35,938.1,27.4,19.94,996.68,15.62,0.02,1.38,Huairou,0,0,1,1
2013,5,29,-89.14,-4.34,1.0,1,1,2,8,10.67,43.62,3.12,16.17,259.09,77.55,23.88,999.81,0.72,0.0,2.94,Huairou,0,0,4,4
2013,5,30,-17.86,-63.62,2.0,0,2,2,3,35.21,119.29,11.04,40.04,550.0,113.12,24.32,997.2,5.33,0.0,1.78,Huairou,2,1,0,5
2013,5,31,-17.23,-89.31,3.0,0,3,3,6,79.38,173.04,26.0,41.21,991.26,137.71,24.05,994.05,12.4,0.0,1.59,Huairou,2,1,0,5
2013,6,1,23.18,-41.78,2.0,0,1,1,1,58.33,108.5,9.88,24.83,709.09,105.57,24.34,997.76,7.08,0.0,1.82,Huairou,2,2,2,3
2013,6,2,44.04,-48.46,4.0,0,0,0,1,132.79,217.21,53.62,44.38,2558.0,73.08,20.95,996.3,13.08,0.0,1.58,Huairou,2,2,2,3
2013,6,3,-8.97,-94.96,3.0,0,3,3,4,103.46,132.08,7.96,23.79,1283.21,125.83,25.42,996.18,11.94,0.0,1.85,Huairou,2,1,0,5
2013,6,4,30.87,-36.52,3.0,0,0,1,5,91.08,126.33,11.5,29.92,1408.12,99.04,19.28,1003.18,16.3,1.12,1.3,Huairou,2,2,2,3
2013,6,5,57.46,-26.13,3.0,1,0,0,8,93.04,99.96,4.04,31.67,1742.57,36.14,18.13,1003.43,18.13,0.49,0.93,Huairou,1,2,2,9
2013,6,6,58.66,-15.96,3.0,2,0,0,8,95.67,92.46,4.79,40.42,1937.29,9.17,18.97,1001.5,18.96,0.06,0.84,Huairou,1,2,2,9
2013,6,7,59.05,-15.85,3.0,2,0,0,8,98.62,108.08,4.54,37.79,1687.46,5.0,19.85,999.79,19.85,0.64,0.81,Huairou,1,2,2,9
2013,6,8,36.25,1.27,3.0,2,0,0,5,112.04,124.79,4.43,38.57,1947.38,5.36,19.53,999.01,19.53,0.1,0.98,Huairou,1,2,2,7
2013,6,12,-15.16,-97.12,2.0,0,3,3,9,61.62,79.75,10.96,27.96,534.78,125.5,20.47,999.35,14.18,0.0,1.28,Huairou,2,1,0,5
2013,6,13,17.93,-96.29,3.0,0,3,3,6,107.92,149.83,24.75,34.25,808.33,143.54,23.31,999.64,15.43,0.0,1.48,Huairou,2,1,0,3
2013,6,15,42.06,-89.25,3.0,0,2,2,3,114.29,188.83,37.67,42.29,891.46,128.71,24.86,998.52,14.74,0.0,1.08,Huairou,2,2,0,3
2013,6,16,9.11,-12.77,4.0,0,0,2,3,140.04,165.04,10.43,31.25,891.3,66.86,21.53,995.17,19.2,0.14,0.92,Huairou,1,2,2,7
2013,6,19,-81.36,-17.62,2.0,1,1,3,8,33.38,71.08,9.12,17.41,986.27,83.89,27.95,993.93,16.57,0.0,1.05,Huairou,0,0,4,4
2013,6,22,-37.81,14.34,2.0,1,1,2,4,33.92,77.42,3.71,25.38,504.17,26.67,21.56,999.67,19.98,0.15,0.88,Huairou,0,0,1,1
2013,6,23,-9.63,-68.69,2.0,0,2,3,9,18.08,60.25,3.12,22.55,430.43,65.62,25.07,994.92,16.76,0.0,0.95,Huairou,2,1,0,5
2013,6,24,27.45,-34.34,5.0,0,0,2,4,166.12,225.12,6.5,23.5,1552.09,87.22,23.76,993.75,20.58,0.28,1.03,Huairou,2,2,2,3
2013,6,25,-9.84,-45.48,2.0,0,2,2,4,42.46,79.29,5.46,10.8,1295.71,49.0,21.04,991.81,20.81,0.19,1.01,Huairou,2,1,0,10
2013,6,26,-67.59,-43.84,2.0,0,1,3,7,62.29,111.21,4.12,15.1,1139.04,70.67,24.26,988.68,20.04,0.0,1.52,Huairou,2,1,4,0
2013,6,27,-15.44,-3.39,2.0,0,0,0,5,7.75,68.29,3.08,13.05,452.17,56.57,26.11,989.63,18.47,0.0,1.2,Huairou,0,1,1,10
2013,6,28,44.37,-18.69,5.0,0,0,0,5,157.33,228.42,7.71,28.27,1677.09,54.5,24.53,992.36,22.78,2.02,1.09,Huairou,1,2,2,9
2013,6,29,38.65,-19.15,2.0,0,0,0,6,47.67,94.04,4.71,11.95,1374.88,49.83,22.68,995.61,22.04,0.01,1.0,Huairou,1,2,2,9
2013,6,30,52.67,-25.98,4.0,0,0,0,8,144.75,205.88,5.14,35.57,2199.64,3.23,23.96,995.05,23.94,0.02,0.96,Huairou,1,2,2,9
2013,7,1,-11.32,-0.45,3.0,1,0,2,6,105.21,150.38,5.18,24.18,1437.95,2.6,24.64,990.38,23.98,0.07,1.01,Huairou,0,3,1,10
2013,7,4,-89.9,7.11,1.0,1,1,2,11,14.58,46.67,3.29,11.0,383.33,62.5,26.3,986.05,18.99,0.07,1.35,Huairou,0,0,4,4
2013,7,6,-32.52,-92.55,2.0,0,3,3,7,54.54,105.62,11.92,12.35,868.09,168.27,28.38,992.3,19.55,0.0,1.29,Huairou,2,1,0,5
2013,7,7,-59.73,-83.9,3.0,0,3,3,5,103.0,140.88,11.54,14.89,991.54,148.25,26.69,991.59,22.34,0.69,1.05,Huairou,2,1,0,0
2013,7,8,-15.85,-53.37,2.0,0,2,2,5,68.17,76.79,3.08,11.94,783.33,123.62,25.63,993.64,23.89,0.03,0.95,Huairou,2,1,0,10
2013,7,9,-26.67,27.55,2.0,1,1,1,3,65.79,58.38,3.58,9.45,647.83,50.3,24.13,994.67,23.96,0.25,0.8,Huairou,0,0,1,1
2013,7,13,-20.2,-86.44,4.0,0,3,3,9,120.21,136.42,3.33,13.25,1108.33,131.25,27.58,998.21,23.4,0.0,1.28,Huairou,2,1,0,5
2013,7,14,-19.68,-40.22,3.0,0,2,2,4,115.12,123.17,10.83,9.3,1125.0,108.54,26.6,998.76,21.75,0.76,1.03,Huairou,2,1,0,10
2013,7,15,-12.45,22.34,1.0,1,1,1,1,34.42,30.92,3.0,17.12,1166.67,25.54,23.31,990.49,23.31,5.61,1.19,Huairou,0,3,1,1
2013,7,16,-83.58,6.31,1.0,1,1,2,8,15.33,27.58,3.0,16.0,504.17,44.08,26.4,991.28,16.72,0.0,1.22,Huairou,0,0,4,4
2013,7,17,-14.91,-76.26,2.0,0,2,3,7,31.46,75.58,6.33,10.78,572.73,111.5,25.78,996.63,18.63,0.0,1.1,Huairou,2,1,0,5
2013,7,18,25.23,-100.58,5.0,0,3,3,9,155.62,170.88,13.42,26.22,1975.0,93.08,25.34,995.85,23.3,0.0,0.91,Huairou,2,1,0,3
2013,7,19,-40.72,-67.44,5.0,0,2,3,8,163.75,173.0,6.17,36.33,1812.5,92.67,26.07,993.5,23.07,0.0,0.78,Huairou,2,1,0,5
2013,7,20,-50.09,-48.9,2.0,0,2,3,9,40.62,58.83,3.67,14.78,637.5,78.62,27.12,995.21,19.7,0.0,0.78,Huairou,2,1,4,0
2013,7,21,-11.0,-76.0,3.0,0,3,3,9,95.08,133.88,5.29,22.83,1152.17,110.35,26.64,996.17,22.88,0.0,0.78,Huairou,2,1,0,5
2013,7,22,7.1,-89.31,3.0,0,3,3,9,108.04,140.54,9.15,23.24,1282.35,110.79,25.25,995.45,21.95,0.0,0.7,Huairou,2,1,0,5
2013,7,23,-65.05,-64.8,3.0,0,2,3,5,89.21,109.04,3.62,21.38,1008.7,122.03,26.24,991.1,21.36,0.0,0.92,Huairou,2,1,4,0
2013,7,24,-103.78,-25.07,2.0,1,1,4,9,31.29,59.54,3.54,14.0,500.0,80.21,28.39,991.07,19.2,0.0,1.05,Huairou,0,0,4,0
2013,7,27,-0.72,8.46,3.0,1,1,2,2,76.71,75.29,3.12,20.59,1656.52,25.52,23.85,992.02,23.85,0.25,0.67,Huairou,1,3,1,7
2013,7,30,-69.93,-81.25,3.0,0,3,3,5,110.96,128.33,3.25,27.83,1008.33,124.67,28.08,989.01,23.43,0.0,1.03,Huairou,2,1,0,0
2013,7,31,-96.41,-48.13,2.0,1,1,4,5,38.38,56.38,3.0,16.13,462.5,124.46,25.51,991.05,21.77,1.88,1.81,Huairou,2,1,4,0
2013,8,1,-81.17,3.36,1.0,1,1,2,8,24.88,32.92,3.0,16.46,504.17,73.79,23.09,994.81,21.84,0.06,0.95,Huairou,0,0,4,4
2013,8,2,-93.85,-51.57,2.0,1,1,4,5,51.75,65.25,4.62,7.19,769.57,102.87,25.24,996.85,21.33,0.0,1.04,Huairou,2,1,4,0
2013,8,3,-79.21,-60.59,2.0,0,3,4,5,30.12,64.83,3.04,17.85,508.33,139.0,26.77,994.65,19.88,0.0,1.02,Huairou,2,1,4,0
2013,8,4,-87.33,-64.81,2.0,0,1,4,5,56.12,94.92,3.71,10.71,620.83,132.96,26.0,991.4,21.78,0.41,1.0,Huairou,2,1,4,0
2013,8,5,-39.15,-76.02,2.0,0,2,3,7,41.21,65.12,4.33,14.5,587.5,124.79,25.7,989.49,21.81,0.0,0.78,Huairou,2,1,0,5
2013,8,6,-41.65,-61.72,4.0,0,2,3,6,120.88,143.79,3.02,18.74,1047.62,86.5,27.78,990.9,25.68,0.48,0.86,Huairou,2,1,0,5
