year,month,day,UMAP1,UMAP2,AQI,KMeans_3,KMeans_4,KMeans_6,KMeans_12,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station,Kmeans_3,Kmeans_4,Kmeans_6,Kmeans_12
2013,3,1,-31.49,70.18,1.0,1,1,1,1,6.46,10.83,9.25,27.71,341.67,72.08,1.32,1028.78,-21.47,0.0,3.31,Nongzhanguan,2,1,4,2
2013,3,2,55.07,69.15,2.0,2,2,5,6,28.75,37.71,33.96,64.74,986.87,40.17,0.49,1028.85,-16.96,0.0,0.79,Nongzhanguan,0,2,2,9
2013,3,3,25.65,88.53,3.0,2,2,5,4,104.75,135.5,63.71,105.67,2308.0,18.58,4.99,1016.46,-12.31,0.0,1.22,Nongzhanguan,0,2,2,9
2013,3,4,76.87,79.54,2.0,2,1,3,6,22.88,35.08,14.67,49.54,674.96,62.46,10.56,1019.45,-14.0,0.0,2.5,Nongzhanguan,0,2,2,9
2013,3,5,99.83,44.71,4.0,2,0,0,7,131.83,173.08,89.21,137.21,2578.88,77.58,7.21,1012.7,-7.78,0.0,0.91,Nongzhanguan,0,2,2,10
2013,3,6,104.83,43.93,5.0,2,0,0,7,195.33,213.75,116.0,149.0,2843.04,30.46,8.0,1009.3,-5.38,0.0,0.78,Nongzhanguan,0,2,2,10
2013,3,7,106.27,35.6,6.0,2,0,0,10,270.38,294.58,102.96,167.08,4158.0,47.58,9.26,1004.11,-2.55,0.0,1.17,Nongzhanguan,0,2,2,10
2013,3,8,71.1,-10.25,5.0,0,0,1,4,217.79,239.42,69.4,129.96,3069.43,99.33,9.66,1001.33,-2.5,0.0,1.68,Nongzhanguan,0,0,3,4
2013,3,9,-26.84,56.18,3.0,1,1,1,4,56.38,218.12,39.62,51.25,1404.08,93.42,7.23,1006.13,-12.1,0.0,4.0,Nongzhanguan,2,1,4,7
2013,3,10,79.42,88.38,2.0,2,2,5,7,35.88,50.38,20.58,55.08,760.87,94.38,5.79,1022.5,-15.11,0.0,2.33,Nongzhanguan,0,2,2,9
2013,3,11,77.65,67.96,3.0,2,1,3,7,113.04,134.04,86.33,87.0,1337.33,87.04,7.18,1015.58,-7.65,0.0,1.52,Nongzhanguan,0,2,2,9
2013,3,12,29.86,62.31,4.0,2,1,2,5,127.83,120.12,38.54,90.79,1999.71,50.17,5.1,1010.8,1.12,0.22,1.18,Nongzhanguan,0,2,2,9
2013,3,13,50.31,87.84,1.0,2,2,5,6,19.38,16.87,13.71,38.67,508.33,78.21,4.36,1024.75,-11.82,0.0,2.02,Nongzhanguan,0,2,2,9
2013,3,14,88.24,59.28,3.0,2,0,2,7,87.46,96.08,61.79,75.38,1399.91,86.5,3.96,1023.47,-4.99,0.0,1.86,Nongzhanguan,0,2,2,10
2013,3,15,99.91,34.77,5.0,2,0,0,9,211.04,225.12,79.96,113.33,2416.21,60.33,5.87,1016.39,-1.32,0.0,0.94,Nongzhanguan,0,2,2,10
2013,3,16,100.26,38.74,5.0,2,0,0,8,244.5,217.21,74.46,97.75,2320.62,81.58,9.63,1018.64,-0.26,0.0,1.78,Nongzhanguan,0,2,2,10
2013,3,17,74.3,73.64,6.0,2,0,1,6,282.38,280.5,82.33,120.88,2682.96,106.29,9.97,1003.75,2.35,0.0,1.12,Nongzhanguan,0,2,2,9
2013,3,18,-8.27,57.99,2.0,1,2,2,2,69.08,86.17,15.92,41.67,804.3,91.38,8.17,1003.12,-10.99,0.0,3.86,Nongzhanguan,2,1,4,2
2013,3,19,5.77,34.25,2.0,2,2,2,2,32.88,32.92,11.75,41.92,679.17,35.54,2.19,1010.85,-2.47,0.18,2.07,Nongzhanguan,2,1,5,0
2013,3,20,27.47,11.54,2.0,2,1,1,5,49.83,39.12,12.88,41.0,879.17,44.29,1.76,1019.26,-4.14,0.25,1.89,Nongzhanguan,0,2,5,0
2013,3,21,45.5,-14.59,4.0,1,0,0,8,122.83,136.62,31.58,82.21,1266.54,24.67,4.52,1006.81,-3.0,0.0,1.71,Nongzhanguan,0,0,3,0
2013,3,22,31.87,23.48,3.0,1,1,3,5,79.29,117.96,25.12,58.17,869.52,55.96,6.32,1013.68,-6.19,0.0,2.41,Nongzhanguan,0,2,5,0
2013,3,23,-4.72,86.97,2.0,1,1,3,3,52.04,86.71,30.04,55.5,1137.38,37.21,4.47,1010.57,-7.76,0.0,3.29,Nongzhanguan,2,1,4,2
2013,3,24,26.98,55.69,1.0,2,2,5,4,18.33,31.5,9.33,34.88,405.26,66.11,4.79,1018.22,-15.44,0.0,2.32,Nongzhanguan,0,2,2,9
2013,3,26,81.11,28.52,5.0,2,0,0,8,174.88,203.04,67.38,90.04,1545.27,22.51,8.47,1009.4,-1.87,0.0,1.61,Nongzhanguan,0,2,2,10
2013,3,27,-27.34,60.09,3.0,1,1,2,6,88.92,118.21,16.21,44.71,812.96,52.94,11.37,1006.9,-4.37,0.0,2.84,Nongzhanguan,2,1,4,7
2013,3,28,25.76,54.71,1.0,1,2,5,4,28.38,48.04,8.79,37.25,533.33,75.71,8.3,1017.23,-12.87,0.0,2.09,Nongzhanguan,0,2,2,9
2013,3,29,55.47,61.96,3.0,2,2,5,7,91.38,129.83,46.79,76.79,1670.58,31.0,6.01,1018.07,-6.32,0.0,2.2,Nongzhanguan,0,2,2,9
2013,3,30,46.38,-0.05,2.0,1,0,1,6,75.38,99.17,57.58,58.75,1617.22,55.22,5.96,1018.73,-4.2,0.0,2.09,Nongzhanguan,0,0,5,0
2013,3,31,65.6,17.33,5.0,1,0,1,4,170.08,183.04,26.12,74.33,1328.96,7.67,5.55,1015.0,2.44,0.0,1.75,Nongzhanguan,0,2,3,10
