year,month,day,UMAP1,UMAP2,AQI,KMeans_3,KMeans_4,KMeans_6,KMeans_12,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station,Kmeans_3,Kmeans_4,Kmeans_6,Kmeans_12
2013,3,1,-56.63,66.16,1.0,1,1,1,1,8.08,9.33,3.0,13.0,352.17,62.48,0.54,1029.64,-20.64,0.0,3.17,Shunyi,0,1,3,9
2013,3,2,37.07,55.5,2.0,2,2,5,4,32.62,38.13,20.21,47.58,920.83,40.42,0.08,1029.47,-16.28,0.0,1.35,Shunyi,1,3,1,3
2013,3,3,6.7,78.74,3.0,1,1,4,4,76.5,95.21,30.88,65.29,1749.92,24.54,5.03,1017.04,-11.78,0.0,1.62,Shunyi,0,3,1,0
2013,3,4,44.9,78.01,2.0,2,2,5,5,19.83,33.04,13.08,43.29,791.58,55.12,8.94,1020.12,-12.44,0.0,2.09,Shunyi,1,3,1,3
2013,3,5,87.89,54.44,3.0,2,0,1,7,114.96,145.83,58.83,87.87,1851.96,74.54,6.45,1013.49,-7.22,0.0,1.2,Shunyi,1,3,1,4
2013,3,6,92.96,41.29,5.0,2,0,0,7,168.71,186.08,86.87,95.69,2313.36,49.71,6.58,1009.99,-4.8,0.0,1.2,Shunyi,1,3,1,4
2013,3,7,100.87,34.7,6.0,2,0,0,9,283.0,301.62,88.79,120.12,3524.88,52.21,8.38,1004.86,-1.92,0.0,1.15,Shunyi,1,3,1,4
2013,3,8,54.35,-47.87,5.0,0,0,2,0,226.0,246.38,69.43,90.28,2790.68,95.67,8.98,1002.05,-1.72,0.0,2.32,Shunyi,1,0,4,10
2013,3,11,78.71,70.05,4.0,2,1,3,7,124.92,157.12,86.83,74.46,1603.88,64.92,6.48,1016.38,-6.84,0.0,1.6,Shunyi,1,3,1,4
2013,3,12,22.36,66.66,4.0,1,1,3,5,115.88,113.71,27.92,65.0,1533.29,43.67,4.73,1011.47,0.75,0.12,1.32,Shunyi,1,3,1,3
2013,3,13,50.93,85.09,1.0,1,2,5,6,14.17,18.46,11.88,24.46,421.74,76.62,3.52,1025.45,-12.49,0.0,2.2,Shunyi,1,3,1,3
2013,3,14,86.19,60.0,3.0,2,1,2,7,90.12,100.29,38.25,68.79,1270.79,74.12,3.51,1024.26,-4.58,0.0,1.73,Shunyi,1,3,1,4
2013,3,15,99.53,33.96,5.0,2,0,0,9,210.17,221.38,48.12,100.79,2016.46,39.46,5.67,1017.08,-1.48,0.0,1.46,Shunyi,1,3,1,4
2013,3,16,100.37,38.63,5.0,2,0,0,8,233.42,209.83,47.79,80.62,2053.88,67.62,8.98,1019.29,-0.15,0.0,2.12,Shunyi,1,3,1,4
2013,3,17,78.4,70.01,6.0,2,0,1,7,287.88,277.29,56.83,89.67,2364.96,103.5,9.2,1004.52,1.98,0.0,1.25,Shunyi,1,3,1,4
2013,3,18,-38.01,55.08,3.0,1,1,1,4,91.92,93.83,9.79,37.62,962.5,89.25,7.65,1003.89,-9.77,0.0,3.76,Shunyi,0,1,3,9
2013,3,19,-30.9,39.04,1.0,1,1,1,1,24.33,19.46,3.0,23.96,583.33,40.83,1.68,1011.66,-1.05,0.28,2.11,Shunyi,0,1,3,5
2013,3,20,24.38,0.48,2.0,2,0,1,4,37.08,32.92,4.25,44.58,787.5,35.88,1.25,1019.82,-4.46,0.23,2.0,Shunyi,1,0,2,11
2013,3,21,44.34,-15.49,4.0,1,0,0,8,122.29,129.92,19.29,58.83,1426.95,28.18,3.92,1007.52,-2.78,0.0,1.5,Shunyi,1,0,4,6
2013,3,22,30.08,18.46,2.0,0,1,3,5,67.83,112.42,15.88,40.0,729.17,56.92,5.85,1014.35,-6.55,0.0,2.5,Shunyi,1,3,2,11
2013,3,23,-3.34,90.77,2.0,1,1,3,3,43.58,58.04,21.0,45.38,1065.09,31.98,4.24,1011.34,-7.08,0.0,3.1,Shunyi,0,3,3,0
2013,3,24,21.17,57.24,1.0,1,1,4,4,16.21,25.79,6.5,27.46,350.0,59.95,3.91,1019.0,-13.16,0.0,2.0,Shunyi,1,3,1,3
2013,3,26,81.14,28.63,5.0,2,0,0,8,187.0,214.58,47.79,88.54,1817.13,13.82,7.52,1010.18,-1.8,0.0,1.84,Shunyi,1,3,1,4
2013,3,27,-25.23,66.01,3.0,1,1,2,3,93.12,105.67,12.21,41.88,969.43,39.32,10.78,1007.66,-4.16,0.0,2.96,Shunyi,0,1,3,0
2013,3,28,-11.61,32.83,1.0,1,1,3,3,21.83,40.67,3.88,27.58,495.79,66.75,7.62,1017.89,-12.71,0.0,2.21,Shunyi,0,1,2,5
2013,3,29,52.91,55.68,3.0,2,1,4,6,80.71,113.04,22.79,48.25,1690.77,31.57,5.55,1018.94,-6.4,0.0,1.97,Shunyi,1,3,1,3
2013,3,30,42.01,-4.72,2.0,1,0,1,8,75.38,99.17,48.75,45.12,1760.65,49.32,5.98,1019.39,-4.25,0.0,2.32,Shunyi,1,0,4,11
2013,3,31,58.9,-20.68,4.0,0,0,0,8,146.88,157.12,3.42,47.17,1133.21,20.08,5.19,1015.73,1.94,0.0,1.76,Shunyi,1,0,4,6
2013,4,1,11.17,56.01,4.0,1,1,4,3,118.17,113.35,13.21,47.75,2034.43,38.14,10.15,1014.05,-3.23,0.0,2.85,Shunyi,1,3,1,3
2013,4,2,56.42,-70.2,3.0,0,0,3,0,87.29,109.25,22.17,55.54,1290.68,55.73,9.67,1013.87,-3.8,0.0,1.77,Shunyi,2,0,4,10
