year,month,day,UMAP1,UMAP2,AQI,KMeans_3,KMeans_4,KMeans_6,KMeans_12,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station,Kmeans_3,Kmeans_4,Kmeans_6,Kmeans_12
2013,3,1,-33.02,67.84,1.0,1,1,1,1,8.04,10.75,7.43,18.26,326.09,57.22,2.06,1025.9,-19.71,0.0,2.61,Wanshouxigong,0,2,5,2
2013,3,2,53.97,68.13,2.0,2,2,5,6,30.92,40.96,30.96,50.33,879.17,27.83,0.68,1026.02,-15.48,0.0,1.06,Wanshouxigong,1,0,2,4
2013,3,3,25.57,88.33,3.0,2,2,5,4,96.0,130.46,58.71,88.42,2004.0,11.5,5.26,1013.77,-11.78,0.0,1.39,Wanshouxigong,1,2,2,4
2013,3,4,75.04,84.67,2.0,2,1,4,6,23.12,38.67,18.92,43.67,754.04,42.46,9.44,1016.82,-11.81,0.0,1.71,Wanshouxigong,1,0,2,4
2013,3,5,99.63,43.38,4.0,2,0,0,7,148.67,171.67,79.43,102.04,2277.96,81.79,7.25,1009.92,-7.46,0.0,0.88,Wanshouxigong,1,0,2,1
2013,3,6,104.87,43.94,5.0,2,0,0,7,207.88,232.67,108.75,125.42,3153.79,60.04,7.88,1006.68,-4.58,0.0,0.83,Wanshouxigong,1,0,2,1
2013,3,7,106.32,35.73,6.0,2,0,0,10,265.33,304.71,93.5,138.25,4420.42,38.38,9.52,1001.4,-1.95,0.0,1.15,Wanshouxigong,1,0,2,1
2013,3,8,73.1,-4.98,5.0,1,0,1,5,223.42,257.92,63.4,119.87,3491.22,91.33,10.25,998.54,-1.74,0.0,1.68,Wanshouxigong,1,0,3,6
2013,3,9,-28.19,58.89,3.0,1,1,1,4,57.25,234.79,31.0,40.17,1182.48,83.92,7.38,1003.39,-10.78,0.0,3.12,Wanshouxigong,0,2,5,2
2013,3,10,79.32,88.61,2.0,2,2,5,7,35.08,48.17,23.33,44.33,875.0,82.42,5.29,1019.85,-14.08,0.0,2.17,Wanshouxigong,1,0,2,4
2013,3,11,79.93,72.85,4.0,2,1,4,7,120.21,144.38,97.75,74.38,1624.79,74.54,5.75,1012.8,-7.25,0.0,1.18,Wanshouxigong,1,0,2,1
2013,3,12,28.18,62.38,4.0,2,1,2,5,123.71,100.58,31.04,72.92,1820.58,33.42,5.16,1007.94,0.89,0.27,1.08,Wanshouxigong,1,0,2,4
2013,3,13,53.94,87.61,1.0,2,2,5,6,21.71,19.0,14.67,34.12,634.78,62.67,5.0,1021.72,-10.5,0.0,2.04,Wanshouxigong,1,0,2,4
2013,3,14,88.2,59.14,3.0,2,0,2,7,85.58,85.54,56.38,64.42,1583.21,66.92,4.3,1020.58,-4.28,0.0,1.71,Wanshouxigong,1,0,2,1
2013,3,15,99.75,34.72,5.0,2,0,0,9,175.38,208.58,74.71,94.33,2382.3,43.71,6.06,1013.58,-0.93,0.0,1.0,Wanshouxigong,1,0,2,1
2013,3,16,100.28,38.66,5.0,2,0,0,8,227.38,236.29,71.46,82.38,2469.22,72.88,10.06,1015.91,0.65,0.0,1.32,Wanshouxigong,1,0,2,1
2013,3,17,74.32,73.6,6.0,2,0,1,6,273.5,294.5,67.46,96.96,2725.74,100.75,9.96,1001.09,2.98,0.0,0.98,Wanshouxigong,1,0,2,4
2013,3,18,-8.29,57.94,2.0,1,2,2,2,73.75,99.21,15.83,35.42,917.35,87.65,8.52,1000.17,-9.7,0.0,3.56,Wanshouxigong,0,2,5,7
2013,3,19,5.97,34.28,2.0,2,2,2,2,38.83,50.92,10.83,39.79,865.22,19.71,2.48,1007.97,-2.02,0.32,1.38,Wanshouxigong,0,2,4,3
