year,month,day,UMAP1,UMAP2,AQI,KMeans_3,KMeans_4,KMeans_6,KMeans_12,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station,Kmeans_3,Kmeans_4,Kmeans_6,Kmeans_12
2013,3,1,9.92,-4.22,1.0,1,1,3,6,7.12,10.75,11.71,22.58,429.17,63.88,1.39,1026.88,-18.75,0.0,3.25,Aotizhongxin,1,1,1,2
2013,3,2,9.04,-0.55,2.0,1,0,1,2,30.75,42.08,36.62,66.67,824.92,29.75,0.62,1026.85,-15.94,0.0,1.48,Aotizhongxin,1,1,1,2
2013,3,3,1.86,-1.52,3.0,1,0,0,3,76.92,120.54,61.29,81.0,1620.62,19.12,5.57,1014.61,-12.32,0.0,1.66,Aotizhongxin,0,3,3,4
2013,3,4,1.34,1.71,2.0,1,0,1,2,22.71,44.58,22.87,46.96,617.39,53.75,9.96,1017.65,-11.68,0.0,2.4,Aotizhongxin,0,3,3,6
2013,3,5,2.37,12.09,4.0,0,3,5,3,148.88,183.79,93.88,132.83,2357.96,68.46,6.29,1010.9,-7.52,0.0,1.13,Aotizhongxin,2,2,4,5
2013,3,6,2.65,15.6,5.0,0,3,5,3,223.25,265.17,116.24,142.06,3108.35,19.75,7.18,1007.48,-4.22,0.0,1.48,Aotizhongxin,2,2,4,5
2013,3,7,0.06,18.02,6.0,0,3,4,3,263.38,316.08,97.54,147.75,3632.88,38.83,9.29,1002.32,-2.03,0.0,1.56,Aotizhongxin,2,2,4,5
2013,3,8,-2.17,4.48,5.0,1,2,2,6,221.46,297.96,68.56,118.84,2581.45,79.33,9.61,999.48,-1.15,0.0,1.64,Aotizhongxin,0,0,0,3
2013,3,9,2.49,-2.02,3.0,1,0,0,6,62.04,211.09,33.33,45.0,1178.96,73.92,6.98,1004.39,-10.16,0.0,3.39,Aotizhongxin,1,3,3,4
2013,3,10,3.54,0.49,2.0,0,0,0,7,34.29,68.92,22.92,49.67,708.33,82.67,5.26,1020.49,-12.85,0.0,2.44,Aotizhongxin,1,3,3,6
2013,3,11,-0.09,3.01,4.0,1,1,2,5,123.79,178.29,86.88,90.67,1670.75,75.25,5.54,1013.66,-6.62,0.0,1.57,Aotizhongxin,0,0,0,6
2013,3,12,0.73,-1.78,4.0,1,0,0,3,122.79,117.17,27.5,72.88,1634.7,36.58,4.6,1008.81,1.35,0.12,1.08,Aotizhongxin,0,3,3,1
