year,month,day,UMAP1,UMAP2,AQI,KMeans_3,KMeans_4,KMeans_6,KMeans_12,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station,Kmeans_3,Kmeans_4,Kmeans_6,Kmeans_12
2013,3,1,89.46,-42.79,1.0,2,2,3,0,7.12,10.75,11.71,22.58,429.17,63.88,1.39,1026.88,-18.75,0.0,3.25,Aotizhongxin,1,0,1,6
2013,3,2,76.18,11.65,2.0,2,2,4,4,30.75,42.08,36.62,66.67,824.92,29.75,0.62,1026.85,-15.94,0.0,1.48,Aotizhongxin,1,0,1,9
2013,3,3,43.09,-18.1,3.0,2,1,1,4,76.92,120.54,61.29,81.0,1620.62,19.12,5.57,1014.61,-12.32,0.0,1.66,Aotizhongxin,1,0,1,10
2013,3,4,28.82,2.12,2.0,2,1,0,3,22.71,44.58,22.87,46.96,617.39,53.75,9.96,1017.65,-11.68,0.0,2.4,Aotizhongxin,1,0,2,5
2013,3,5,28.12,100.98,4.0,1,3,2,2,148.88,183.79,93.88,132.83,2357.96,68.46,6.29,1010.9,-7.52,0.0,1.13,Aotizhongxin,1,3,4,1
2013,3,6,32.07,116.01,5.0,1,3,2,3,223.25,265.17,116.24,142.06,3108.35,19.75,7.18,1007.48,-4.22,0.0,1.48,Aotizhongxin,1,3,4,1
2013,3,7,28.75,120.46,6.0,1,3,2,3,263.38,316.08,97.54,147.75,3632.88,38.83,9.29,1002.32,-2.03,0.0,1.56,Aotizhongxin,1,3,4,1
2013,3,8,27.05,39.97,5.0,0,1,1,6,221.46,297.96,68.56,118.84,2581.45,79.33,9.61,999.48,-1.15,0.0,1.64,Aotizhongxin,1,3,4,5
2013,3,9,50.3,-76.76,3.0,0,0,0,0,62.04,211.09,33.33,45.0,1178.96,73.92,6.98,1004.39,-10.16,0.0,3.39,Aotizhongxin,2,2,3,3
2013,3,10,30.25,-8.46,2.0,1,1,0,3,34.29,68.92,22.92,49.67,708.33,82.67,5.26,1020.49,-12.85,0.0,2.44,Aotizhongxin,1,0,2,10
2013,3,11,24.26,47.14,4.0,2,3,2,1,123.79,178.29,86.88,90.67,1670.75,75.25,5.54,1013.66,-6.62,0.0,1.57,Aotizhongxin,1,3,4,5
2013,3,12,28.47,16.34,4.0,2,2,1,2,122.79,117.17,27.5,72.88,1634.7,36.58,4.6,1008.81,1.35,0.12,1.08,Aotizhongxin,1,3,2,5
2013,3,13,38.6,-5.55,1.0,2,2,0,4,16.04,19.33,16.25,36.08,504.17,71.88,4.93,1022.48,-10.05,0.0,2.33,Aotizhongxin,1,0,2,5
2013,3,14,30.02,47.65,3.0,2,3,2,3,95.17,107.29,51.92,70.38,1337.29,68.92,3.82,1021.4,-3.59,0.0,1.95,Aotizhongxin,1,3,4,5
