year,month,day,UMAP1,UMAP2,AQI,KMeans_3,KMeans_4,KMeans_6,KMeans_12,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station,Kmeans_3,Kmeans_4,Kmeans_6,Kmeans_12
2013,3,1,89.4,-42.8,1.0,2,2,3,0,6.42,9.88,8.48,28.52,395.65,72.78,1.32,1028.78,-21.47,0.0,3.31,Dongsi,0,3,3,4
2013,3,2,77.42,12.07,2.0,2,2,4,4,30.5,40.58,28.29,58.5,966.58,37.79,0.49,1028.85,-16.96,0.0,0.79,Dongsi,0,3,3,0
2013,3,3,43.12,-18.11,3.0,2,2,1,4,98.33,131.58,58.29,93.46,2132.88,20.33,4.99,1016.46,-12.31,0.0,1.22,Dongsi,0,3,1,11
2013,3,4,28.82,2.12,2.0,2,1,0,3,24.29,40.88,16.51,47.67,869.57,62.29,10.56,1019.45,-14.0,0.0,2.5,Dongsi,0,3,1,11
2013,3,5,28.27,103.34,5.0,1,3,2,2,154.25,183.17,82.0,140.04,2447.61,83.04,7.21,1012.7,-7.78,0.0,0.91,Dongsi,2,0,0,8
2013,3,6,31.95,116.02,5.0,1,3,2,3,206.83,231.92,102.42,161.5,2991.33,28.0,8.0,1009.3,-5.38,0.0,0.78,Dongsi,2,0,0,8
2013,3,7,28.65,120.42,6.0,1,3,2,3,274.42,306.62,92.96,174.0,4249.67,53.54,9.26,1004.11,-2.55,0.0,1.17,Dongsi,2,0,0,8
2013,3,8,27.03,39.94,5.0,0,1,1,6,189.33,232.46,61.46,151.76,3199.7,104.54,9.66,1001.33,-2.5,0.0,1.68,Dongsi,0,0,0,2
2013,3,9,50.29,-76.73,3.0,0,0,0,0,58.92,201.87,31.96,56.87,1260.61,97.08,7.23,1006.13,-12.1,0.0,4.0,Dongsi,1,1,5,7
2013,3,10,30.53,-11.88,2.0,1,1,0,3,36.33,66.46,19.25,53.21,913.0,95.12,5.79,1022.5,-15.11,0.0,2.33,Dongsi,0,3,1,11
2013,3,11,24.11,46.85,3.0,2,3,2,1,111.62,149.79,75.12,83.12,1278.0,86.67,7.18,1015.58,-7.65,0.0,1.52,Dongsi,0,0,0,2
2013,3,12,28.45,16.38,4.0,2,2,1,2,126.75,125.83,28.42,88.88,1408.08,45.75,5.1,1010.8,1.12,0.22,1.18,Dongsi,0,0,1,11
2013,3,13,38.7,-5.62,1.0,2,2,0,4,18.46,23.88,12.17,36.0,509.52,79.5,4.36,1024.75,-11.82,0.0,2.02,Dongsi,0,3,1,11
2013,3,14,29.9,47.75,3.0,2,3,2,3,97.5,105.33,52.33,71.75,1437.29,78.88,3.96,1023.47,-4.99,0.0,1.86,Dongsi,0,0,0,2
2013,3,15,26.95,92.96,5.0,1,3,2,5,219.96,229.5,78.29,115.5,2299.42,60.71,5.87,1016.39,-1.32,0.0,0.94,Dongsi,2,0,0,8
2013,3,16,21.46,111.87,5.0,1,3,2,3,243.58,235.33,69.42,122.62,2349.71,84.67,9.63,1018.64,-0.26,0.0,1.78,Dongsi,2,0,0,8
2013,3,21,21.09,0.63,4.0,2,2,1,6,144.46,145.92,23.42,76.62,1360.87,20.04,4.52,1006.81,-3.0,0.0,1.71,Dongsi,0,3,1,11
2013,3,22,22.48,-9.35,3.0,2,2,0,5,83.33,124.54,22.58,52.25,862.5,54.62,6.32,1013.68,-6.19,0.0,2.41,Dongsi,0,3,1,11
2013,3,23,40.79,-36.7,2.0,2,1,0,3,53.25,84.04,25.08,46.12,983.25,39.75,4.47,1010.57,-7.76,0.0,3.29,Dongsi,0,3,1,9
2013,3,24,37.93,-8.55,1.0,2,2,0,3,18.0,28.58,9.29,23.96,225.0,69.76,4.79,1018.22,-15.44,0.0,2.32,Dongsi,0,3,1,11
2013,3,27,30.62,-52.35,3.0,0,0,0,3,85.71,97.46,15.54,46.17,890.91,62.68,11.37,1006.9,-4.37,0.0,2.84,Dongsi,1,1,5,9
2013,3,28,29.16,-25.57,2.0,1,1,0,5,28.58,53.92,8.42,29.12,525.0,78.75,8.3,1017.23,-12.87,0.0,2.09,Dongsi,0,3,1,9
2013,3,29,26.72,23.37,3.0,2,3,2,4,90.5,134.21,36.21,69.83,1517.95,31.65,6.01,1018.07,-6.32,0.0,2.2,Dongsi,0,0,1,11
2013,3,30,21.8,29.38,3.0,2,3,2,1,79.62,105.83,47.62,50.83,1616.42,51.33,5.96,1018.73,-4.2,0.0,2.09,Dongsi,0,0,1,11
2013,3,31,20.09,28.08,5.0,2,2,1,1,178.88,193.25,20.21,71.0,1437.29,9.17,5.55,1015.0,2.44,0.0,1.75,Dongsi,0,0,1,11
2013,4,1,21.03,-9.33,3.0,1,1,0,2,95.29,118.79,33.17,45.62,1383.21,62.42,10.89,1013.38,-4.93,0.0,3.02,Dongsi,0,3,1,11
2013,4,2,4.84,36.08,3.0,1,3,2,1,104.5,134.17,35.42,55.17,1331.55,73.28,11.18,1013.15,-2.95,0.0,1.98,Dongsi,2,0,1,2
2013,4,3,2.42,41.85,4.0,1,3,2,1,125.62,194.42,42.21,79.75,1456.3,65.45,11.72,1008.48,-1.9,0.0,2.26,Dongsi,2,0,1,2
2013,4,4,12.62,20.88,2.0,1,2,1,2,70.92,107.21,47.79,65.25,2191.0,32.21,8.32,1010.71,-1.38,0.27,1.51,Dongsi,2,0,1,11
2013,4,5,31.27,-54.9,2.0,0,0,0,4,59.54,57.54,14.75,38.0,1204.22,50.62,9.0,1014.64,-1.78,0.09,3.36,Dongsi,1,1,5,9
2013,4,6,25.4,-67.12,1.0,0,0,0,9,11.33,20.25,6.12,19.29,373.91,77.26,9.4,1012.62,-10.38,0.0,2.72,Dongsi,1,1,5,7
2013,4,7,28.56,-69.19,3.0,0,0,0,6,79.88,115.96,34.42,59.38,1233.21,46.67,9.26,1004.02,-2.84,0.0,2.17,Dongsi,1,1,5,7
2013,4,8,39.17,-69.33,2.0,0,0,0,0,23.42,120.12,5.54,15.46,362.5,86.12,9.34,1008.72,-13.17,0.0,6.1,Dongsi,1,1,5,7
2013,4,9,34.22,-66.92,1.0,0,0,0,3,11.92,27.0,4.38,9.54,341.67,91.88,8.37,1016.05,-10.79,0.0,4.69,Dongsi,1,1,5,7
