year,month,day,UMAP1,UMAP2,AQI,KMeans_3,KMeans_4,KMeans_6,KMeans_12,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station,Kmeans_3,Kmeans_4,Kmeans_6,Kmeans_12
2013,3,1,89.4,-42.78,1.0,2,2,3,0,8.62,14.46,8.88,21.58,450.0,68.08,1.32,1028.78,-21.47,0.0,3.31,Tiantan,1,1,2,3
2013,3,2,78.68,7.32,2.0,2,2,4,4,31.71,37.04,27.17,50.48,934.78,34.04,0.49,1028.85,-16.96,0.0,0.79,Tiantan,1,1,2,1
2013,3,3,43.13,-18.1,3.0,2,2,1,4,98.04,121.33,55.62,82.96,2028.96,16.92,4.99,1016.46,-12.31,0.0,1.22,Tiantan,1,1,1,11
2013,3,4,29.25,-1.83,2.0,2,1,0,3,22.33,37.58,16.58,42.04,895.79,53.12,10.56,1019.45,-14.0,0.0,2.5,Tiantan,1,1,1,10
2013,3,5,27.55,95.86,4.0,1,3,2,2,141.67,156.38,74.33,101.67,2408.0,94.0,7.21,1012.7,-7.78,0.0,0.91,Tiantan,1,2,0,5
2013,3,6,32.01,115.25,5.0,1,3,2,3,193.71,206.33,96.39,126.96,3069.17,75.33,8.0,1009.3,-5.38,0.0,0.78,Tiantan,1,2,0,9
2013,3,7,28.58,119.95,6.0,1,3,2,3,257.5,278.29,72.67,134.08,4416.29,55.29,9.26,1004.11,-2.55,0.0,1.17,Tiantan,1,2,0,5
2013,3,9,50.32,-76.74,3.0,0,0,0,0,60.33,206.3,26.62,41.62,1387.29,88.92,7.23,1006.13,-12.1,0.0,4.0,Tiantan,0,3,4,4
2013,3,10,30.27,-9.39,2.0,1,1,0,3,38.29,66.5,20.67,44.79,830.35,89.75,5.79,1022.5,-15.11,0.0,2.33,Tiantan,1,1,1,10
2013,3,11,24.13,46.84,4.0,2,3,2,1,122.04,143.83,82.58,73.33,1449.88,88.08,7.18,1015.58,-7.65,0.0,1.52,Tiantan,1,2,0,10
2013,3,12,28.46,16.36,4.0,2,2,1,2,126.96,120.25,26.42,69.29,2028.79,47.42,5.1,1010.8,1.12,0.22,1.18,Tiantan,1,2,1,10
2013,3,13,38.74,-5.61,1.0,2,2,0,4,16.92,22.67,12.67,32.04,600.0,74.0,4.36,1024.75,-11.82,0.0,2.02,Tiantan,1,1,1,10
2013,3,14,29.89,47.48,3.0,2,3,2,3,83.88,98.42,56.13,61.92,1366.43,78.46,3.96,1023.47,-4.99,0.0,1.86,Tiantan,1,2,0,10
2013,3,15,26.45,92.49,5.0,1,3,2,5,189.71,213.88,56.71,88.71,2249.62,62.75,5.87,1016.39,-1.32,0.0,0.94,Tiantan,1,2,0,5
2013,3,16,21.56,111.92,5.0,1,3,2,3,247.79,234.79,69.25,83.25,2453.75,88.54,9.63,1018.64,-0.26,0.0,1.78,Tiantan,1,2,0,5
2013,3,17,21.9,105.37,6.0,1,3,2,5,289.5,275.04,59.62,100.21,2687.12,103.92,9.97,1003.75,2.35,0.0,1.12,Tiantan,1,2,0,5
2013,3,18,46.67,-104.91,2.0,0,0,0,8,72.92,98.21,12.71,40.25,952.09,93.29,8.17,1003.12,-10.99,0.0,3.86,Tiantan,0,3,4,4
2013,3,19,52.16,-111.82,2.0,0,0,0,9,43.54,39.79,10.96,44.62,891.67,27.79,2.19,1010.85,-2.47,0.18,2.07,Tiantan,0,3,4,4
2013,3,20,23.67,-10.36,2.0,1,1,0,5,57.5,44.38,10.29,36.79,1024.96,40.75,1.76,1019.26,-4.14,0.25,1.89,Tiantan,1,1,1,11
2013,3,21,21.1,0.56,4.0,2,2,1,6,134.71,131.92,28.92,69.17,1399.71,25.21,4.52,1006.81,-3.0,0.0,1.71,Tiantan,1,1,1,10
2013,3,22,22.46,-9.4,3.0,2,2,0,5,76.67,109.5,25.04,47.54,969.57,57.78,6.32,1013.68,-6.19,0.0,2.41,Tiantan,1,1,1,11
2013,3,23,40.79,-36.7,2.0,2,1,0,3,51.33,74.38,28.79,51.33,1237.42,35.62,4.47,1010.57,-7.76,0.0,3.29,Tiantan,0,1,2,11
2013,3,24,38.01,-8.6,1.0,2,2,0,3,15.92,26.71,10.33,31.0,465.0,68.3,4.79,1018.22,-15.44,0.0,2.32,Tiantan,1,1,1,10
2013,3,26,22.95,48.68,5.0,1,2,1,1,173.0,192.0,56.83,70.46,1499.73,26.18,8.47,1009.4,-1.87,0.0,1.61,Tiantan,1,2,0,10
2013,3,27,30.61,-52.34,3.0,0,0,0,3,85.17,94.21,14.12,46.79,921.74,45.52,11.37,1006.9,-4.37,0.0,2.84,Tiantan,0,3,4,11
2013,3,31,20.08,28.1,5.0,2,2,1,1,171.21,178.67,26.08,64.25,1562.38,12.21,5.55,1015.0,2.44,0.0,1.75,Tiantan,1,2,1,10
2013,4,1,21.05,-9.33,3.0,1,1,0,2,96.5,108.46,36.79,50.04,1547.74,51.93,10.89,1013.38,-4.93,0.0,3.02,Tiantan,1,1,1,11
2013,4,2,4.74,36.04,3.0,1,3,2,1,102.0,127.17,35.92,51.42,1391.09,66.94,11.18,1013.15,-2.95,0.0,1.98,Tiantan,2,2,1,0
2013,4,3,2.39,41.86,4.0,1,3,2,1,117.29,156.29,37.54,70.0,1534.7,60.39,11.72,1008.48,-1.9,0.0,2.26,Tiantan,2,2,1,5
2013,4,4,12.26,22.4,2.0,1,2,1,2,65.71,95.17,50.5,69.08,2233.04,34.29,8.32,1010.71,-1.38,0.27,1.51,Tiantan,1,2,1,10
2013,4,5,31.3,-54.85,2.0,0,0,0,4,61.83,52.04,12.33,44.38,1312.25,41.92,9.0,1014.64,-1.78,0.09,3.36,Tiantan,0,3,4,11
2013,4,6,25.48,-67.13,1.0,0,0,0,9,9.83,19.33,5.75,29.21,420.83,67.33,9.4,1012.62,-10.38,0.0,2.72,Tiantan,0,3,4,4
2013,4,7,28.58,-69.27,3.0,0,0,0,6,77.96,100.38,34.5,59.08,1260.7,55.0,9.26,1004.02,-2.84,0.0,2.17,Tiantan,0,3,4,4
2013,4,8,39.87,-69.12,2.0,0,0,0,0,22.62,108.71,4.04,25.75,395.83,139.42,9.34,1008.72,-13.17,0.0,6.1,Tiantan,0,3,4,4
2013,4,10,27.85,-71.42,1.0,0,0,0,9,12.42,36.79,3.33,35.88,462.5,61.3,8.11,1015.6,-10.82,0.0,3.22,Tiantan,0,3,4,4
2013,4,11,24.07,-71.77,2.0,0,0,0,9,18.38,52.17,5.43,49.4,747.57,41.25,10.58,1014.38,-11.76,0.0,2.35,Tiantan,0,3,4,4
2013,4,12,-6.61,-89.47,2.0,0,0,3,9,51.12,96.21,18.72,61.93,827.18,37.89,15.92,1008.38,-5.6,0.0,2.09,Tiantan,0,3,4,4
2013,4,13,-10.86,-96.08,2.0,0,0,5,9,57.33,119.54,19.5,46.33,799.96,43.88,17.83,1000.58,-1.18,0.0,3.06,Tiantan,0,3,4,4
2013,4,14,13.93,-69.36,2.0,0,0,0,9,34.17,84.46,13.83,29.21,645.83,73.71,12.38,1006.3,-8.0,0.0,2.2,Tiantan,0,3,4,4
2013,4,15,18.93,-69.96,2.0,0,0,0,9,66.33,127.17,46.46,49.12,1460.57,62.83,12.29,999.45,-0.73,0.0,2.45,Tiantan,0,3,4,4
2013,4,16,22.96,-75.76,2.0,0,0,0,9,57.0,122.5,27.5,43.71,1087.42,70.5,13.92,1002.96,-0.94,0.0,2.21,Tiantan,0,3,4,4
