year,month,day,UMAP1,UMAP2,AQI,KMeans_3,KMeans_4,KMeans_6,KMeans_12,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station,Kmeans_3,Kmeans_4,Kmeans_6,Kmeans_12
2013,3,1,2.29,0.46,1.0,2,2,5,9,6.42,9.88,8.48,28.52,395.65,72.78,1.32,1028.78,-21.47,0.0,3.31,Dongsi,0,3,4,1
2013,3,2,1.7,-0.0,2.0,1,1,3,8,30.5,40.58,28.29,58.5,966.58,37.79,0.49,1028.85,-16.96,0.0,0.79,Dongsi,0,3,3,8
2013,3,3,0.48,-0.32,3.0,0,0,0,0,98.33,131.58,58.29,93.46,2132.88,20.33,4.99,1016.46,-12.31,0.0,1.22,Dongsi,2,1,0,5
2013,3,4,0.3,-0.29,2.0,0,0,0,0,24.29,40.88,16.51,47.67,869.57,62.29,10.56,1019.45,-14.0,0.0,2.5,Dongsi,2,1,0,5
2013,3,5,-0.01,-0.53,5.0,0,0,0,0,154.25,183.17,82.0,140.04,2447.61,83.04,7.21,1012.7,-7.78,0.0,0.91,Dongsi,2,2,2,0
2013,3,6,-0.15,-0.63,5.0,0,1,1,2,206.83,231.92,102.42,161.5,2991.33,28.0,8.0,1009.3,-5.38,0.0,0.78,Dongsi,1,2,2,0
2013,3,7,-0.42,-1.12,6.0,0,1,1,9,274.42,306.62,92.96,174.0,4249.67,53.54,9.26,1004.11,-2.55,0.0,1.17,Dongsi,1,2,2,9
2013,3,8,-0.33,-1.4,5.0,0,1,1,9,189.33,232.46,61.46,151.76,3199.7,104.54,9.66,1001.33,-2.5,0.0,1.68,Dongsi,1,2,2,9
2013,3,9,0.88,-0.55,3.0,0,0,1,4,58.92,201.87,31.96,56.87,1260.61,97.08,7.23,1006.13,-12.1,0.0,4.0,Dongsi,2,1,0,5
2013,3,10,0.75,-0.09,2.0,0,0,0,3,36.33,66.46,19.25,53.21,913.0,95.12,5.79,1022.5,-15.11,0.0,2.33,Dongsi,2,1,0,5
2013,3,11,-0.08,-0.31,3.0,0,0,0,0,111.62,149.79,75.12,83.12,1278.0,86.67,7.18,1015.58,-7.65,0.0,1.52,Dongsi,1,2,2,0
2013,3,12,0.48,0.12,4.0,0,0,0,4,126.75,125.83,28.42,88.88,1408.08,45.75,5.1,1010.8,1.12,0.22,1.18,Dongsi,2,1,0,5
2013,3,13,1.13,0.49,1.0,2,0,2,7,18.46,23.88,12.17,36.0,509.52,79.5,4.36,1024.75,-11.82,0.0,2.02,Dongsi,2,1,3,3
2013,3,14,0.54,0.26,3.0,0,0,0,4,97.5,105.33,52.33,71.75,1437.29,78.88,3.96,1023.47,-4.99,0.0,1.86,Dongsi,2,1,0,3
2013,3,15,-0.03,0.25,5.0,0,2,2,6,219.96,229.5,78.29,115.5,2299.42,60.71,5.87,1016.39,-1.32,0.0,0.94,Dongsi,1,2,1,10
2013,3,16,-0.28,-0.05,5.0,0,2,2,4,243.58,235.33,69.42,122.62,2349.71,84.67,9.63,1018.64,-0.26,0.0,1.78,Dongsi,1,2,2,0
2013,3,21,-0.01,-0.62,4.0,0,0,0,0,144.46,145.92,23.42,76.62,1360.87,20.04,4.52,1006.81,-3.0,0.0,1.71,Dongsi,2,2,2,0
2013,3,22,0.18,-0.44,3.0,0,0,0,0,83.33,124.54,22.58,52.25,862.5,54.62,6.32,1013.68,-6.19,0.0,2.41,Dongsi,2,2,0,5
2013,3,23,0.72,-0.54,2.0,0,0,0,2,53.25,84.04,25.08,46.12,983.25,39.75,4.47,1010.57,-7.76,0.0,3.29,Dongsi,2,1,0,5
2013,3,24,0.84,-0.26,1.0,0,0,0,4,18.0,28.58,9.29,23.96,225.0,69.76,4.79,1018.22,-15.44,0.0,2.32,Dongsi,2,1,0,5
2013,3,27,0.18,-0.64,3.0,0,0,0,0,85.71,97.46,15.54,46.17,890.91,62.68,11.37,1006.9,-4.37,0.0,2.84,Dongsi,2,2,0,5
2013,3,28,0.38,-0.13,2.0,0,0,0,0,28.58,53.92,8.42,29.12,525.0,78.75,8.3,1017.23,-12.87,0.0,2.09,Dongsi,2,1,0,5
2013,3,29,0.38,0.02,3.0,0,0,0,2,90.5,134.21,36.21,69.83,1517.95,31.65,6.01,1018.07,-6.32,0.0,2.2,Dongsi,2,1,0,5
