year,month,day,UMAP1,UMAP2,AQI,KMeans_3,KMeans_4,KMeans_6,KMeans_12,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station,Kmeans_3,Kmeans_4,Kmeans_6,Kmeans_12
2013,3,1,2.08,0.34,1.0,2,2,5,11,8.0,14.29,11.65,32.43,395.65,46.35,1.39,1026.88,-18.75,0.0,3.25,Wanliu,1,1,1,6
2013,3,2,1.56,-0.12,2.0,1,1,2,8,29.08,41.62,34.25,73.71,908.33,17.67,0.62,1026.85,-15.94,0.0,1.48,Wanliu,1,1,4,10
2013,3,3,0.36,-0.41,3.0,0,0,0,0,80.12,130.75,50.21,86.96,2074.58,12.08,5.57,1014.61,-12.32,0.0,1.66,Wanliu,2,3,5,7
2013,3,4,0.28,-0.38,2.0,0,0,0,0,22.88,52.38,27.08,66.83,829.08,31.75,9.96,1017.65,-11.68,0.0,2.4,Wanliu,2,3,5,4
2013,3,5,-0.04,-0.66,4.0,0,0,0,0,134.04,196.96,80.74,121.0,2530.09,48.54,6.29,1010.9,-7.52,0.0,1.13,Wanliu,2,2,3,4
2013,3,6,-0.18,-0.75,5.0,0,1,1,3,229.54,276.88,104.29,130.42,3328.71,16.29,7.18,1007.48,-4.22,0.0,1.48,Wanliu,0,2,3,3
2013,3,7,-0.46,-1.25,5.0,0,1,1,9,238.0,318.33,79.96,133.58,4733.0,25.21,9.29,1002.32,-2.03,0.0,1.56,Wanliu,0,2,3,3
2013,3,8,-0.4,-1.5,5.0,0,1,1,9,210.62,273.71,60.68,121.03,4522.55,64.46,9.61,999.48,-1.15,0.0,1.64,Wanliu,0,2,3,3
2013,3,9,0.74,-0.6,3.0,0,0,0,4,66.0,205.81,25.8,44.72,1277.18,61.71,6.98,1004.39,-10.16,0.0,3.39,Wanliu,2,3,5,7
2013,3,10,0.77,-0.18,2.0,0,0,0,2,38.08,71.46,18.96,61.17,816.62,67.46,5.26,1020.49,-12.85,0.0,2.44,Wanliu,2,3,5,7
2013,3,11,-0.08,-0.43,4.0,0,0,0,0,139.96,197.92,79.88,89.92,2295.43,56.42,5.54,1013.66,-6.62,0.0,1.57,Wanliu,2,2,3,4
2013,3,12,0.37,-0.04,4.0,0,0,0,2,134.38,148.46,24.61,84.82,2249.75,21.0,4.6,1008.81,1.35,0.12,1.08,Wanliu,2,3,5,4
2013,3,13,0.88,0.37,2.0,0,0,2,4,21.71,30.88,18.54,70.25,645.79,47.46,4.93,1022.48,-10.05,0.0,2.33,Wanliu,2,3,5,9
2013,3,14,0.38,0.14,3.0,0,0,0,2,104.38,120.46,57.08,92.42,1454.04,61.04,3.82,1021.4,-3.59,0.0,1.95,Wanliu,2,3,5,4
2013,3,15,-0.1,0.12,5.0,0,2,2,6,225.08,251.33,80.79,133.96,2345.46,37.79,6.4,1014.5,-1.07,0.0,1.42,Wanliu,0,2,5,4
2013,3,16,-0.33,-0.14,5.0,0,1,1,3,248.08,262.58,79.75,121.96,2578.09,59.79,9.53,1016.85,0.88,0.0,1.7,Wanliu,0,2,3,8
2013,3,17,-0.45,-1.32,6.0,0,1,1,9,284.92,316.67,79.96,140.21,2769.09,88.71,10.01,1001.94,3.15,0.0,1.15,Wanliu,0,2,3,3
2013,3,18,-0.11,-1.1,2.0,0,1,0,6,70.79,106.75,20.83,59.58,843.43,82.0,8.38,1001.22,-9.4,0.0,3.64,Wanliu,2,2,3,3
