year,month,day,UMAP1,UMAP2,AQI,KMeans_3,KMeans_4,KMeans_6,KMeans_12,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station,Kmeans_3,Kmeans_4,Kmeans_6,Kmeans_12
2013,3,1,90.16,31.76,1.0,0,0,4,7,7.12,10.75,11.71,22.58,429.17,63.88,1.39,1026.88,-18.75,0.0,3.25,Aotizhongxin,2,3,0,3
2013,3,2,77.27,-30.88,2.0,0,0,0,1,30.75,42.08,36.62,66.67,824.92,29.75,0.62,1026.85,-15.94,0.0,1.48,Aotizhongxin,1,3,4,11
2013,3,3,32.89,-76.23,3.0,0,2,4,0,76.92,120.54,61.29,81.0,1620.62,19.12,5.57,1014.61,-12.32,0.0,1.66,Aotizhongxin,1,1,4,7
2013,3,4,26.66,-75.75,2.0,0,2,5,0,22.71,44.58,22.87,46.96,617.39,53.75,9.96,1017.65,-11.68,0.0,2.4,Aotizhongxin,1,1,4,7
2013,3,5,31.38,-87.81,4.0,0,2,5,0,148.88,183.79,93.88,132.83,2357.96,68.46,6.29,1010.9,-7.52,0.0,1.13,Aotizhongxin,1,1,4,7
2013,3,6,33.53,-99.83,5.0,0,2,5,0,223.25,265.17,116.24,142.06,3108.35,19.75,7.18,1007.48,-4.22,0.0,1.48,Aotizhongxin,1,1,4,7
2013,3,7,29.08,-118.25,6.0,0,2,5,5,263.38,316.08,97.54,147.75,3632.88,38.83,9.29,1002.32,-2.03,0.0,1.56,Aotizhongxin,1,1,4,7
2013,3,8,43.11,-123.35,5.0,0,2,5,3,221.46,297.96,68.56,118.84,2581.45,79.33,9.61,999.48,-1.15,0.0,1.64,Aotizhongxin,1,1,4,7
2013,3,9,60.0,-72.56,3.0,0,0,2,5,62.04,211.09,33.33,45.0,1178.96,73.92,6.98,1004.39,-10.16,0.0,3.39,Aotizhongxin,1,1,4,11
2013,3,10,46.55,-43.73,2.0,0,1,1,2,34.29,68.92,22.92,49.67,708.33,82.67,5.26,1020.49,-12.85,0.0,2.44,Aotizhongxin,1,1,4,4
2013,3,11,15.02,-47.47,4.0,0,2,5,5,123.79,178.29,86.88,90.67,1670.75,75.25,5.54,1013.66,-6.62,0.0,1.57,Aotizhongxin,1,1,4,4
2013,3,12,36.66,-24.48,4.0,0,0,0,9,122.79,117.17,27.5,72.88,1634.7,36.58,4.6,1008.81,1.35,0.12,1.08,Aotizhongxin,1,1,4,4
2013,3,13,42.22,4.2,1.0,0,0,3,10,16.04,19.33,16.25,36.08,504.17,71.88,4.93,1022.48,-10.05,0.0,2.33,Aotizhongxin,2,3,4,4
2013,3,14,29.49,-3.32,3.0,0,0,4,10,95.17,107.29,51.92,70.38,1337.29,68.92,3.82,1021.4,-3.59,0.0,1.95,Aotizhongxin,2,3,4,4
2013,3,15,15.82,2.14,5.0,0,0,4,5,212.29,250.62,75.58,99.42,2116.5,44.21,6.4,1014.5,-1.07,0.0,1.42,Aotizhongxin,2,1,5,4
2013,3,16,18.63,-50.02,5.0,1,1,3,3,244.88,257.92,70.12,90.38,2173.61,66.67,9.53,1016.85,0.88,0.0,1.7,Aotizhongxin,1,1,4,4
2013,3,17,44.83,-120.95,6.0,0,2,5,0,284.54,309.67,73.67,113.88,2558.0,96.54,10.01,1001.94,3.15,0.0,1.15,Aotizhongxin,1,1,4,7
2013,3,18,43.33,-91.82,2.0,0,2,5,1,70.67,118.04,19.62,46.17,866.58,89.04,8.38,1001.22,-9.4,0.0,3.64,Aotizhongxin,1,1,4,7
