year,month,day,UMAP1,UMAP2,AQI,KMeans_3,KMeans_4,KMeans_6,KMeans_12,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station,Kmeans_3,Kmeans_4,Kmeans_6,Kmeans_12
2013,3,1,105.03,-17.08,1.0,0,0,2,2,7.54,12.38,15.96,12.35,339.13,78.22,0.02,1023.78,-21.94,0.0,2.93,Huairou,1,2,2,11
2013,3,2,81.98,-37.27,2.0,0,0,0,0,32.71,41.38,40.01,49.85,765.17,35.01,-0.99,1023.69,-16.24,0.0,1.58,Huairou,1,2,5,1
2013,3,3,38.36,-76.06,2.0,0,2,3,0,57.62,80.75,38.29,48.04,945.83,27.83,3.91,1011.39,-12.48,0.0,1.77,Huairou,1,0,5,9
2013,3,4,42.78,-70.9,1.0,0,2,3,0,19.11,45.88,25.71,35.12,524.96,55.92,7.11,1014.49,-13.1,0.0,1.89,Huairou,1,0,5,9
2013,3,6,34.65,-102.41,5.0,0,2,5,0,167.62,195.38,65.79,86.58,2095.62,80.38,5.47,1004.48,-5.6,0.0,1.24,Huairou,1,0,5,9
2013,3,7,29.73,-118.58,5.0,0,2,5,6,206.42,241.82,64.0,121.67,2466.38,63.58,7.63,999.4,-3.99,0.0,1.33,Huairou,1,0,5,10
2013,3,8,42.46,-123.79,5.0,0,2,5,3,194.88,232.25,58.56,88.81,2303.91,85.79,8.82,996.52,-2.75,0.0,2.32,Huairou,1,0,5,9
2013,3,9,61.34,-78.1,2.0,0,1,2,4,52.12,142.75,29.57,33.43,804.35,102.5,6.2,1001.3,-11.9,0.0,3.97,Huairou,1,0,5,9
2013,3,10,46.83,-55.1,2.0,0,1,3,0,43.62,68.92,32.25,46.58,762.5,90.54,3.73,1017.32,-14.14,0.0,1.74,Huairou,1,0,5,9
2013,3,11,15.3,-47.93,4.0,0,2,5,5,119.54,141.88,73.0,72.38,1295.67,70.96,4.88,1010.81,-8.55,0.0,1.4,Huairou,1,0,5,6
2013,3,12,39.91,-28.44,3.0,0,0,0,9,106.54,104.67,29.83,81.75,1208.17,41.88,4.94,1005.86,-0.71,0.06,1.63,Huairou,1,0,5,9
2013,3,13,57.87,-6.47,1.0,0,0,2,10,10.58,16.46,15.08,19.25,322.73,85.46,2.45,1019.56,-13.34,0.0,2.75,Huairou,1,2,2,5
2013,3,14,30.17,-16.11,3.0,0,0,4,9,108.0,120.79,32.46,78.21,1470.58,79.25,2.0,1018.57,-4.95,0.0,1.56,Huairou,1,0,3,4
2013,3,15,17.71,-23.82,5.0,0,2,5,8,220.83,223.96,49.58,102.04,2021.48,45.38,4.2,1011.42,-2.3,0.0,1.16,Huairou,1,0,3,6
2013,3,16,20.79,-64.04,5.0,0,2,5,5,236.0,223.92,48.38,83.08,2038.91,77.71,8.2,1013.63,-0.96,0.0,1.75,Huairou,1,0,5,9
2013,3,17,45.27,-120.78,6.0,0,2,5,0,280.29,285.92,65.83,105.54,2521.43,99.67,8.09,998.97,1.15,0.0,1.37,Huairou,1,0,5,9
2013,3,18,43.01,-92.01,3.0,0,2,5,2,95.42,115.88,10.25,32.71,799.92,87.79,7.28,998.18,-10.78,0.0,3.7,Huairou,1,0,5,9
2013,3,19,33.54,19.26,1.0,0,0,4,3,29.46,14.96,4.38,29.21,479.17,40.0,0.97,1005.96,-0.15,0.34,2.42,Huairou,1,2,3,5
