year,month,day,UMAP1,UMAP2,AQI,KMeans_3,KMeans_4,KMeans_6,KMeans_12,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station,Kmeans_3,Kmeans_4,Kmeans_6,Kmeans_12
2013,3,1,91.67,28.88,1.0,0,0,4,7,8.08,9.33,3.0,13.0,352.17,62.48,0.54,1029.64,-20.64,0.0,3.17,Shunyi,1,1,2,7
2013,3,2,79.52,-22.83,2.0,0,0,0,2,32.62,38.13,20.21,47.58,920.83,40.42,0.08,1029.47,-16.28,0.0,1.35,Shunyi,2,1,4,2
2013,3,3,33.42,-74.99,3.0,0,2,4,0,76.5,95.21,30.88,65.29,1749.92,24.54,5.03,1017.04,-11.78,0.0,1.62,Shunyi,2,2,4,5
2013,3,4,27.21,-66.51,2.0,0,2,5,1,19.83,33.04,13.08,43.29,791.58,55.12,8.94,1020.12,-12.44,0.0,2.09,Shunyi,2,2,4,5
2013,3,5,28.69,-76.53,3.0,0,2,5,2,114.96,145.83,58.83,87.87,1851.96,74.54,6.45,1013.49,-7.22,0.0,1.2,Shunyi,2,2,4,5
2013,3,6,33.27,-99.25,5.0,0,2,5,0,168.71,186.08,86.87,95.69,2313.36,49.71,6.58,1009.99,-4.8,0.0,1.2,Shunyi,2,2,4,5
2013,3,7,28.99,-118.14,6.0,0,2,5,5,283.0,301.62,88.79,120.12,3524.88,52.21,8.38,1004.86,-1.92,0.0,1.15,Shunyi,2,2,4,5
2013,3,8,43.21,-123.24,5.0,0,2,5,3,226.0,246.38,69.43,90.28,2790.68,95.67,8.98,1002.05,-1.72,0.0,2.32,Shunyi,2,2,4,5
2013,3,11,15.91,-48.33,4.0,0,2,5,5,124.92,157.12,86.83,74.46,1603.88,64.92,6.48,1016.38,-6.84,0.0,1.6,Shunyi,2,2,3,5
2013,3,12,37.11,-24.03,4.0,0,0,0,9,115.88,113.71,27.92,65.0,1533.29,43.67,4.73,1011.47,0.75,0.12,1.32,Shunyi,2,1,3,11
2013,3,13,45.84,4.21,1.0,0,0,3,10,14.17,18.46,11.88,24.46,421.74,76.62,3.52,1025.45,-12.49,0.0,2.2,Shunyi,1,1,3,11
2013,3,14,30.52,-1.49,3.0,0,0,4,10,90.12,100.29,38.25,68.79,1270.79,74.12,3.51,1024.26,-4.58,0.0,1.73,Shunyi,1,1,3,11
2013,3,15,16.64,2.27,5.0,0,0,4,5,210.17,221.38,48.12,100.79,2016.46,39.46,5.67,1017.08,-1.48,0.0,1.46,Shunyi,2,2,3,11
2013,3,16,17.03,-45.93,5.0,1,1,3,3,233.42,209.83,47.79,80.62,2053.88,67.62,8.98,1019.29,-0.15,0.0,2.12,Shunyi,2,2,3,11
2013,3,17,44.66,-121.29,6.0,0,2,5,0,287.88,277.29,56.83,89.67,2364.96,103.5,9.2,1004.52,1.98,0.0,1.25,Shunyi,2,2,4,5
2013,3,18,44.76,-95.14,3.0,0,2,5,1,91.92,93.83,9.79,37.62,962.5,89.25,7.65,1003.89,-9.77,0.0,3.76,Shunyi,2,2,4,5
2013,3,19,35.05,23.54,1.0,0,0,4,2,24.33,19.46,3.0,23.96,583.33,40.83,1.68,1011.66,-1.05,0.28,2.11,Shunyi,1,0,3,0
2013,3,20,40.08,-46.1,2.0,0,1,4,3,37.08,32.92,4.25,44.58,787.5,35.88,1.25,1019.82,-4.46,0.23,2.0,Shunyi,2,2,4,11
2013,3,21,38.82,-99.13,4.0,0,2,5,0,122.29,129.92,19.29,58.83,1426.95,28.18,3.92,1007.52,-2.78,0.0,1.5,Shunyi,2,2,4,5
2013,3,22,34.97,-65.28,2.0,0,2,5,5,67.83,112.42,15.88,40.0,729.17,56.92,5.85,1014.35,-6.55,0.0,2.5,Shunyi,2,2,4,5
2013,3,23,58.6,-81.58,2.0,0,1,1,1,43.58,58.04,21.0,45.38,1065.09,31.98,4.24,1011.34,-7.08,0.0,3.1,Shunyi,2,2,4,5
2013,3,24,47.28,-39.72,1.0,0,1,0,7,16.21,25.79,6.5,27.46,350.0,59.95,3.91,1019.0,-13.16,0.0,2.0,Shunyi,2,1,4,11
2013,3,26,7.0,-52.15,5.0,0,2,5,7,187.0,214.58,47.79,88.54,1817.13,13.82,7.52,1010.18,-1.8,0.0,1.84,Shunyi,2,2,0,5
2013,3,27,29.9,-85.5,3.0,0,2,5,0,93.12,105.67,12.21,41.88,969.43,39.32,10.78,1007.66,-4.16,0.0,2.96,Shunyi,2,2,4,5
2013,3,28,30.35,-52.86,1.0,0,2,5,5,21.83,40.67,3.88,27.58,495.79,66.75,7.62,1017.89,-12.71,0.0,2.21,Shunyi,2,2,4,5
2013,3,29,26.6,-40.85,3.0,0,2,5,8,80.71,113.04,22.79,48.25,1690.77,31.57,5.55,1018.94,-6.4,0.0,1.97,Shunyi,2,2,3,11
2013,3,30,18.15,-10.83,2.0,0,2,5,9,75.38,99.17,48.75,45.12,1760.65,49.32,5.98,1019.39,-4.25,0.0,2.32,Shunyi,2,2,3,11
2013,3,31,10.05,-19.62,4.0,0,2,5,8,146.88,157.12,3.42,47.17,1133.21,20.08,5.19,1015.73,1.94,0.0,1.76,Shunyi,2,2,3,1
2013,4,1,11.45,-49.67,4.0,0,2,5,8,118.17,113.35,13.21,47.75,2034.43,38.14,10.15,1014.05,-3.23,0.0,2.85,Shunyi,2,2,3,5
2013,4,2,1.14,-65.52,3.0,1,2,5,8,87.29,109.25,22.17,55.54,1290.68,55.73,9.67,1013.87,-3.8,0.0,1.77,Shunyi,2,2,0,5
2013,4,3,3.78,-61.41,3.0,1,2,5,7,111.58,167.88,22.29,60.29,1395.67,63.25,11.73,1009.17,-1.54,0.0,2.48,Shunyi,2,2,0,5
2013,4,4,4.7,-36.9,2.0,0,2,5,8,63.5,81.54,41.67,69.5,2062.12,22.08,7.93,1011.46,-0.53,0.33,1.84,Shunyi,2,2,3,1
2013,4,5,23.69,-58.68,2.0,0,2,5,4,39.75,25.46,3.46,26.96,1116.67,42.0,8.73,1015.28,-1.65,0.05,2.8,Shunyi,2,2,4,5
2013,4,6,29.18,-95.96,1.0,0,2,5,4,14.96,17.17,3.88,24.08,369.57,57.22,7.95,1013.31,-8.55,0.0,2.07,Shunyi,2,2,4,5
2013,4,7,40.33,-116.55,2.0,0,2,5,0,72.88,103.12,34.08,57.42,1453.92,45.42,8.96,1004.92,-2.25,0.0,2.62,Shunyi,2,2,4,5
2013,4,8,40.19,-105.5,2.0,0,2,5,0,20.58,72.33,3.33,20.29,581.82,58.05,8.85,1009.02,-11.13,0.0,5.54,Shunyi,2,2,4,5
2013,4,9,29.65,-76.67,1.0,0,2,5,0,11.21,18.88,3.0,11.75,562.5,78.5,8.11,1016.55,-10.6,0.0,3.9,Shunyi,2,2,4,5
2013,4,10,26.67,-79.83,1.0,0,2,5,0,12.58,15.61,3.01,21.63,863.64,55.87,7.76,1016.12,-10.48,0.0,3.48,Shunyi,2,2,4,5
2013,4,11,16.48,-89.46,1.0,0,2,5,6,16.96,21.88,4.1,38.94,1136.36,53.94,9.72,1014.96,-10.51,0.0,2.7,Shunyi,2,2,0,5
2013,4,12,-21.06,-102.28,2.0,1,2,5,6,63.62,91.54,15.75,79.17,1590.73,31.1,13.23,1009.18,-5.1,0.0,1.46,Shunyi,2,2,0,10
