year,month,day,UMAP1,UMAP2,AQI,KMeans_3,KMeans_4,KMeans_6,KMeans_12,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station,Kmeans_3,Kmeans_4,Kmeans_6,Kmeans_12
2013,3,2,6.43,1.74,2.0,0,0,5,2,36.92,51.38,37.29,37.57,1479.04,39.58,0.82,1024.9,-16.34,0.0,1.09,Gucheng,1,3,0,7
2013,3,3,5.61,6.74,3.0,0,3,3,3,80.33,120.04,47.54,63.33,2349.71,33.71,6.56,1012.57,-11.99,0.0,1.4,Gucheng,1,3,1,7
2013,3,7,13.88,4.06,5.0,0,0,3,6,243.75,308.58,83.17,155.14,4607.83,55.62,9.73,1000.3,-2.21,0.0,1.0,Gucheng,1,3,4,9
2013,3,8,12.43,-2.19,5.0,0,0,2,4,201.5,267.33,60.55,141.18,3017.26,106.67,10.61,997.45,-1.65,0.0,1.25,Gucheng,0,1,3,0
2013,3,9,8.37,-9.19,3.0,2,2,2,2,59.33,242.5,20.43,41.91,960.87,102.12,7.62,1002.32,-11.04,0.0,2.27,Gucheng,0,1,3,4
2013,3,10,6.03,2.98,2.0,0,2,3,2,41.58,75.54,20.04,46.88,799.96,98.62,6.42,1018.58,-14.7,0.0,1.98,Gucheng,1,3,1,7
2013,3,11,8.62,-2.06,4.0,1,1,1,3,138.0,197.12,96.0,106.17,2203.75,91.54,5.78,1011.65,-7.25,0.0,0.98,Gucheng,0,1,3,0
2013,3,12,1.3,-7.73,4.0,1,1,1,4,137.08,139.92,27.38,101.75,2053.92,39.67,5.18,1006.91,0.42,0.14,0.98,Gucheng,2,2,5,4
2013,3,13,3.78,-8.44,2.0,2,2,2,2,28.58,39.0,10.88,46.46,756.52,64.62,4.85,1020.54,-10.35,0.0,1.64,Gucheng,0,2,5,4
2013,3,14,7.38,3.85,3.0,0,1,3,3,100.58,115.42,48.54,80.33,1608.08,80.04,3.98,1019.43,-3.98,0.0,1.35,Gucheng,1,3,1,7
2013,3,15,10.95,0.68,5.0,0,0,1,0,220.21,239.29,65.04,121.25,2658.0,61.29,5.98,1012.47,-1.23,0.0,0.74,Gucheng,0,1,4,0
2013,3,16,7.64,-0.56,5.0,0,1,2,2,239.62,244.54,62.08,109.17,2637.29,87.17,9.72,1014.85,0.38,0.0,1.24,Gucheng,0,1,0,0
2013,3,17,7.33,-9.59,6.0,2,2,2,2,276.88,306.79,64.04,122.21,2669.17,107.0,10.2,999.96,2.71,0.0,0.83,Gucheng,0,1,3,4
2013,3,18,4.61,-2.49,2.0,1,0,0,2,75.79,113.5,11.75,39.79,883.29,93.58,8.7,999.06,-10.13,0.0,2.46,Gucheng,0,2,0,10
2013,3,19,9.48,-4.83,2.0,1,1,0,3,36.46,37.79,6.58,53.12,858.29,24.5,1.95,1006.95,-1.79,0.35,1.34,Gucheng,0,1,3,5
2013,3,20,3.69,-3.63,2.0,1,1,1,4,61.0,64.0,8.0,42.0,979.12,44.17,1.89,1015.25,-2.98,0.14,1.36,Gucheng,0,2,5,10
2013,3,21,9.69,-3.61,4.0,1,1,1,0,148.75,162.92,19.67,87.79,1508.48,19.43,3.62,1002.84,-2.05,0.0,1.21,Gucheng,0,1,3,5
2013,3,22,9.12,3.19,3.0,0,0,3,2,82.67,126.08,19.46,58.75,995.79,54.38,7.04,1009.52,-6.07,0.0,2.01,Gucheng,1,3,4,9
2013,3,23,1.84,3.54,2.0,0,2,4,6,54.38,102.12,21.58,55.04,1041.54,38.42,4.96,1006.55,-6.99,0.0,1.88,Gucheng,1,0,2,3
2013,3,24,4.43,3.76,1.0,0,3,5,3,21.08,43.42,9.5,28.04,465.0,75.17,5.36,1014.2,-14.82,0.0,1.54,Gucheng,1,3,1,3
2013,3,26,5.79,3.73,5.0,0,1,3,3,180.96,251.33,61.83,107.21,2064.78,19.24,7.11,1005.53,-2.49,0.0,0.89,Gucheng,1,3,1,7
2013,3,27,4.23,7.23,3.0,0,3,3,3,105.62,157.75,17.33,55.96,1325.96,52.18,10.66,1003.01,-5.9,0.0,1.9,Gucheng,1,3,1,2
2013,3,28,7.46,4.46,2.0,0,1,3,3,29.83,54.75,9.67,35.25,604.17,73.96,8.01,1013.5,-11.61,0.0,1.82,Gucheng,1,3,1,7
